project_id,sov_line_id,material_total_cost,estimated_material_cost,material_overrun_ratio
PRJ-2018-005,PRJ-2018-005-SOV-03,302809.02,282700,1.071
PRJ-2018-005,PRJ-2018-005-SOV-04,394230.44999999995,368100,1.071
PRJ-2018-005,PRJ-2018-005-SOV-05,232671.6,217200,1.071
PRJ-2018-005,PRJ-2018-005-SOV-06,182260.18,170100,1.071
PRJ-2018-005,PRJ-2018-005-SOV-07,880490.9,0,2.0
PRJ-2018-005,PRJ-2018-005-SOV-08,581533.69,0,2.0
PRJ-2018-005,PRJ-2018-005-SOV-09,437748.37,0,2.0
PRJ-2018-005,PRJ-2018-005-SOV-10,122342.11,114200,1.071
PRJ-2018-005,PRJ-2018-005-SOV-11,83762.14,78200,1.071
PRJ-2018-005,PRJ-2018-005-SOV-12,131368.37,0,2.0
PRJ-2018-005,PRJ-2018-005-SOV-13,0.0,0,0.0
PRJ-2018-005,PRJ-2018-005-SOV-14,0.0,62100,0.0
PRJ-2018-005,PRJ-2018-005-SOV-15,0.0,34800,0.0
PRJ-2018-006,PRJ-2018-006-SOV-01,0.0,280600,0.0
PRJ-2018-006,PRJ-2018-006-SOV-02,0.0,114200,0.0
PRJ-2018-006,PRJ-2018-006-SOV-03,308070.95,292000,1.055
PRJ-2018-006,PRJ-2018-006-SOV-04,336710.74,319100,1.055
PRJ-2018-006,PRJ-2018-006-SOV-05,324300.39,307300,1.055
PRJ-2018-006,PRJ-2018-006-SOV-06,179410.19,170000,1.055
PRJ-2018-006,PRJ-2018-006-SOV-07,1110412.85,0,2.0
PRJ-2018-006,PRJ-2018-006-SOV-08,852018.63,0,2.0
PRJ-2018-006,PRJ-2018-006-SOV-09,631347.34,0,2.0
PRJ-2018-006,PRJ-2018-006-SOV-10,279641.31,265000,1.055
PRJ-2018-006,PRJ-2018-006-SOV-11,176379.56,167100,1.056
PRJ-2018-006,PRJ-2018-006-SOV-12,187699.88,0,2.0
PRJ-2018-006,PRJ-2018-006-SOV-13,0.0,0,0.0
PRJ-2018-006,PRJ-2018-006-SOV-14,0.0,63500,0.0
PRJ-2018-006,PRJ-2018-006-SOV-15,0.0,43400,0.0
PRJ-2018-007,PRJ-2018-007-SOV-01,0.0,651200,0.0
PRJ-2018-007,PRJ-2018-007-SOV-02,0.0,280400,0.0
PRJ-2018-007,PRJ-2018-007-SOV-03,420180.62,420200,1.0
PRJ-2018-007,PRJ-2018-007-SOV-04,909608.12,909800,1.0
PRJ-2018-007,PRJ-2018-007-SOV-05,603291.38,603400,1.0
PRJ-2018-007,PRJ-2018-007-SOV-06,480063.8,480100,1.0
PRJ-2018-007,PRJ-2018-007-SOV-07,1510346.67,0,2.0
PRJ-2018-007,PRJ-2018-007-SOV-08,1625841.76,0,2.0
PRJ-2018-007,PRJ-2018-007-SOV-09,918795.98,0,2.0
PRJ-2018-007,PRJ-2018-007-SOV-10,419308.42,419400,1.0
PRJ-2018-007,PRJ-2018-007-SOV-11,330942.92,331000,1.0
PRJ-2018-007,PRJ-2018-007-SOV-12,326785.32999999996,0,2.0
PRJ-2018-007,PRJ-2018-007-SOV-13,0.0,0,0.0
PRJ-2018-007,PRJ-2018-007-SOV-14,0.0,184400,0.0
PRJ-2018-007,PRJ-2018-007-SOV-15,0.0,79400,0.0
PRJ-2018-008,PRJ-2018-008-SOV-01,0.0,196400,0.0
PRJ-2018-008,PRJ-2018-008-SOV-02,0.0,86300,0.0
PRJ-2018-008,PRJ-2018-008-SOV-03,169187.43,170500,0.992
PRJ-2018-008,PRJ-2018-008-SOV-04,208821.97,210400,0.992
PRJ-2018-008,PRJ-2018-008-SOV-05,200969.2,202500,0.992
PRJ-2018-008,PRJ-2018-008-SOV-06,97260.24,98000,0.992
PRJ-2018-008,PRJ-2018-008-SOV-07,740214.1799999999,0,2.0
PRJ-2018-008,PRJ-2018-008-SOV-08,343038.23,0,2.0
PRJ-2018-008,PRJ-2018-008-SOV-09,436246.36,0,2.0
PRJ-2018-008,PRJ-2018-008-SOV-10,158671.26,159900,0.992
PRJ-2018-008,PRJ-2018-008-SOV-11,102982.32,103700,0.993
PRJ-2018-008,PRJ-2018-008-SOV-12,134812.37,0,2.0
PRJ-2018-008,PRJ-2018-008-SOV-13,0.0,0,0.0
PRJ-2018-008,PRJ-2018-008-SOV-14,0.0,53300,0.0
PRJ-2018-008,PRJ-2018-008-SOV-15,0.0,41200,0.0
PRJ-2018-009,PRJ-2018-009-SOV-01,0.0,514900,0.0
PRJ-2018-009,PRJ-2018-009-SOV-02,0.0,83100,0.0
PRJ-2018-009,PRJ-2018-009-SOV-03,308764.86,298900,1.033
PRJ-2018-009,PRJ-2018-009-SOV-04,640240.15,619900,1.033
PRJ-2018-009,PRJ-2018-009-SOV-05,397013.24,384400,1.033
PRJ-2018-009,PRJ-2018-009-SOV-06,323665.15,313300,1.033
PRJ-2018-009,PRJ-2018-009-SOV-07,1762905.3399999999,0,2.0
PRJ-2018-009,PRJ-2018-009-SOV-08,1019741.13,0,2.0
PRJ-2018-009,PRJ-2018-009-SOV-09,811987.58,0,2.0
PRJ-2018-009,PRJ-2018-009-SOV-10,371350.08999999997,359500,1.033
PRJ-2018-009,PRJ-2018-009-SOV-11,152150.52000000002,147300,1.033
PRJ-2018-009,PRJ-2018-009-SOV-12,215831.81,0,2.0
PRJ-2018-009,PRJ-2018-009-SOV-13,0.0,0,0.0
PRJ-2018-009,PRJ-2018-009-SOV-14,0.0,104100,0.0
PRJ-2018-009,PRJ-2018-009-SOV-15,0.0,66600,0.0
PRJ-2018-010,PRJ-2018-010-SOV-01,0.0,346700,0.0
PRJ-2018-010,PRJ-2018-010-SOV-02,0.0,102300,0.0
PRJ-2018-010,PRJ-2018-010-SOV-03,293298.55,270600,1.084
PRJ-2018-010,PRJ-2018-010-SOV-04,631365.42,582600,1.084
PRJ-2018-010,PRJ-2018-010-SOV-05,309644.67,285700,1.084
PRJ-2018-010,PRJ-2018-010-SOV-06,259390.62,239300,1.084
PRJ-2018-010,PRJ-2018-010-SOV-07,1477727.05,0,2.0
PRJ-2018-010,PRJ-2018-010-SOV-08,1006407.57,0,2.0
PRJ-2018-010,PRJ-2018-010-SOV-09,830287.88,0,2.0
PRJ-2018-010,PRJ-2018-010-SOV-10,259483.41,239400,1.084
PRJ-2018-010,PRJ-2018-010-SOV-11,198341.35,183000,1.084
PRJ-2018-010,PRJ-2018-010-SOV-12,231087.52,0,2.0
PRJ-2018-010,PRJ-2018-010-SOV-13,0.0,0,0.0
PRJ-2018-010,PRJ-2018-010-SOV-14,0.0,105800,0.0
PRJ-2018-010,PRJ-2018-010-SOV-15,0.0,41500,0.0
PRJ-2018-011,PRJ-2018-011-SOV-01,0.0,793100,0.0
PRJ-2018-011,PRJ-2018-011-SOV-02,0.0,483000,0.0
PRJ-2018-011,PRJ-2018-011-SOV-03,1673514.5499999998,1570600,1.066
PRJ-2018-011,PRJ-2018-011-SOV-04,2251027.12,2112700,1.065
PRJ-2018-011,PRJ-2018-011-SOV-05,1566102.45,1469800,1.066
PRJ-2018-011,PRJ-2018-011-SOV-06,523766.89,491500,1.066
PRJ-2018-011,PRJ-2018-011-SOV-07,4777823.95,0,2.0
PRJ-2018-011,PRJ-2018-011-SOV-08,3357755.95,0,2.0
PRJ-2018-011,PRJ-2018-011-SOV-09,3206134.6,0,2.0
PRJ-2018-011,PRJ-2018-011-SOV-10,1418068.98,1330900,1.065
PRJ-2018-011,PRJ-2018-011-SOV-11,654951.06,614700,1.065
PRJ-2018-011,PRJ-2018-011-SOV-12,631994.24,0,2.0
PRJ-2018-011,PRJ-2018-011-SOV-13,0.0,0,0.0
PRJ-2018-011,PRJ-2018-011-SOV-14,0.0,485000,0.0
PRJ-2018-011,PRJ-2018-011-SOV-15,0.0,199500,0.0
PRJ-2018-012,PRJ-2018-012-SOV-01,0.0,223700,0.0
PRJ-2018-012,PRJ-2018-012-SOV-02,0.0,131000,0.0
PRJ-2018-012,PRJ-2018-012-SOV-03,304672.97,293300,1.039
PRJ-2018-012,PRJ-2018-012-SOV-04,401611.74,386600,1.039
PRJ-2018-012,PRJ-2018-012-SOV-05,253283.88999999998,243800,1.039
PRJ-2018-012,PRJ-2018-012-SOV-06,125494.57,120800,1.039
PRJ-2018-012,PRJ-2018-012-SOV-07,925131.55,0,2.0
PRJ-2018-012,PRJ-2018-012-SOV-08,858636.23,0,2.0
PRJ-2018-012,PRJ-2018-012-SOV-09,445714.92,0,2.0
PRJ-2018-012,PRJ-2018-012-SOV-10,246336.21,237100,1.039
PRJ-2018-012,PRJ-2018-012-SOV-11,138639.26,133400,1.039
PRJ-2018-012,PRJ-2018-012-SOV-12,110668.76,0,2.0
PRJ-2018-012,PRJ-2018-012-SOV-13,0.0,0,0.0
PRJ-2018-012,PRJ-2018-012-SOV-14,0.0,83600,0.0
PRJ-2018-012,PRJ-2018-012-SOV-15,0.0,39100,0.0
PRJ-2018-013,PRJ-2018-013-SOV-01,0.0,78800,0.0
PRJ-2018-013,PRJ-2018-013-SOV-02,0.0,56600,0.0
PRJ-2018-013,PRJ-2018-013-SOV-03,141135.38,140500,1.005
PRJ-2018-013,PRJ-2018-013-SOV-04,142492.57,141800,1.005
PRJ-2018-013,PRJ-2018-013-SOV-05,129975.4,129400,1.004
PRJ-2018-013,PRJ-2018-013-SOV-06,85565.1,85100,1.005
PRJ-2018-013,PRJ-2018-013-SOV-07,539915.12,0,2.0
PRJ-2018-013,PRJ-2018-013-SOV-08,337387.80000000005,0,2.0
PRJ-2018-013,PRJ-2018-013-SOV-09,237977.5,0,2.0
PRJ-2018-013,PRJ-2018-013-SOV-10,121940.70999999999,121400,1.004
PRJ-2018-013,PRJ-2018-013-SOV-11,71016.23,70700,1.004
PRJ-2018-013,PRJ-2018-013-SOV-12,66780.52,0,2.0
PRJ-2018-013,PRJ-2018-013-SOV-13,0.0,0,0.0
PRJ-2018-013,PRJ-2018-013-SOV-14,0.0,47400,0.0
PRJ-2018-013,PRJ-2018-013-SOV-15,0.0,25800,0.0
PRJ-2018-014,PRJ-2018-014-SOV-01,0.0,384600,0.0
PRJ-2018-014,PRJ-2018-014-SOV-02,0.0,125500,0.0
PRJ-2018-014,PRJ-2018-014-SOV-03,382466.01,385400,0.992
PRJ-2018-014,PRJ-2018-014-SOV-04,520886.39,525000,0.992
PRJ-2018-014,PRJ-2018-014-SOV-05,367497.84,370400,0.992
PRJ-2018-014,PRJ-2018-014-SOV-06,189897.71,191400,0.992
PRJ-2018-014,PRJ-2018-014-SOV-07,1166415.3199999998,0,2.0
PRJ-2018-014,PRJ-2018-014-SOV-08,921576.62,0,2.0
PRJ-2018-014,PRJ-2018-014-SOV-09,703056.31,0,2.0
PRJ-2018-014,PRJ-2018-014-SOV-10,346839.14,349500,0.992
PRJ-2018-014,PRJ-2018-014-SOV-11,178207.74,179600,0.992
PRJ-2018-014,PRJ-2018-014-SOV-12,126967.70999999999,0,2.0
PRJ-2018-014,PRJ-2018-014-SOV-13,0.0,0,0.0
PRJ-2018-014,PRJ-2018-014-SOV-14,0.0,87600,0.0
PRJ-2018-014,PRJ-2018-014-SOV-15,0.0,73500,0.0
PRJ-2018-015,PRJ-2018-015-SOV-01,0.0,683400,0.0
PRJ-2018-015,PRJ-2018-015-SOV-02,0.0,141800,0.0
PRJ-2018-015,PRJ-2018-015-SOV-03,690770.22,708600,0.975
PRJ-2018-015,PRJ-2018-015-SOV-04,978760.0,1004100,0.975
PRJ-2018-015,PRJ-2018-015-SOV-05,514127.53,527400,0.975
PRJ-2018-015,PRJ-2018-015-SOV-06,575128.88,590000,0.975
PRJ-2018-015,PRJ-2018-015-SOV-07,2538304.15,0,2.0
PRJ-2018-015,PRJ-2018-015-SOV-08,1883559.65,0,2.0
PRJ-2018-015,PRJ-2018-015-SOV-09,1733711.02,0,2.0
PRJ-2018-015,PRJ-2018-015-SOV-10,659057.15,676100,0.975
PRJ-2018-015,PRJ-2018-015-SOV-11,309939.82,317900,0.975
PRJ-2018-015,PRJ-2018-015-SOV-12,395327.46,0,2.0
PRJ-2018-015,PRJ-2018-015-SOV-13,0.0,0,0.0
PRJ-2018-015,PRJ-2018-015-SOV-14,0.0,249700,0.0
PRJ-2018-015,PRJ-2018-015-SOV-15,0.0,115600,0.0
PRJ-2018-016,PRJ-2018-016-SOV-01,0.0,341300,0.0
PRJ-2018-016,PRJ-2018-016-SOV-02,0.0,140900,0.0
PRJ-2018-016,PRJ-2018-016-SOV-03,634531.47,615600,1.031
PRJ-2018-016,PRJ-2018-016-SOV-04,708525.84,687400,1.031
PRJ-2018-016,PRJ-2018-016-SOV-05,773547.8,750500,1.031
PRJ-2018-016,PRJ-2018-016-SOV-06,484599.7,470200,1.031
PRJ-2018-016,PRJ-2018-016-SOV-07,1824894.94,0,2.0
PRJ-2018-016,PRJ-2018-016-SOV-08,2119052.45,0,2.0
PRJ-2018-016,PRJ-2018-016-SOV-09,1242583.24,0,2.0
PRJ-2018-016,PRJ-2018-016-SOV-10,562846.88,546100,1.031
PRJ-2018-016,PRJ-2018-016-SOV-11,387774.81,376200,1.031
PRJ-2018-016,PRJ-2018-016-SOV-12,366129.35,0,2.0
PRJ-2018-016,PRJ-2018-016-SOV-13,0.0,0,0.0
PRJ-2018-016,PRJ-2018-016-SOV-14,0.0,131000,0.0
PRJ-2018-016,PRJ-2018-016-SOV-15,0.0,83400,0.0
PRJ-2018-017,PRJ-2018-017-SOV-01,0.0,683900,0.0
PRJ-2018-017,PRJ-2018-017-SOV-02,0.0,199600,0.0
PRJ-2018-017,PRJ-2018-017-SOV-03,655547.88,682000,0.961
PRJ-2018-017,PRJ-2018-017-SOV-04,899916.89,936200,0.961
PRJ-2018-017,PRJ-2018-017-SOV-05,540060.36,561800,0.961
PRJ-2018-017,PRJ-2018-017-SOV-06,294124.7,305900,0.962
PRJ-2018-017,PRJ-2018-017-SOV-07,2145539.1,0,2.0
PRJ-2018-017,PRJ-2018-017-SOV-08,1311665.6400000001,0,2.0
PRJ-2018-017,PRJ-2018-017-SOV-09,959049.37,0,2.0
PRJ-2018-017,PRJ-2018-017-SOV-10,589231.41,613000,0.961
PRJ-2018-017,PRJ-2018-017-SOV-11,243302.59999999998,253100,0.961
PRJ-2018-017,PRJ-2018-017-SOV-12,249802.71,0,2.0
PRJ-2018-017,PRJ-2018-017-SOV-13,0.0,0,0.0
PRJ-2018-017,PRJ-2018-017-SOV-14,0.0,142700,0.0
PRJ-2018-017,PRJ-2018-017-SOV-15,0.0,93700,0.0
PRJ-2018-018,PRJ-2018-018-SOV-01,0.0,259100,0.0
PRJ-2018-018,PRJ-2018-018-SOV-02,0.0,68800,0.0
PRJ-2018-018,PRJ-2018-018-SOV-03,236014.95,241800,0.976
PRJ-2018-018,PRJ-2018-018-SOV-04,334782.23,343000,0.976
PRJ-2018-018,PRJ-2018-018-SOV-05,454462.77,465600,0.976
PRJ-2018-018,PRJ-2018-018-SOV-06,192530.57,197200,0.976
PRJ-2018-018,PRJ-2018-018-SOV-07,1097083.0699999998,0,2.0
PRJ-2018-018,PRJ-2018-018-SOV-08,934527.45,0,2.0
PRJ-2018-018,PRJ-2018-018-SOV-09,670798.87,0,2.0
PRJ-2018-018,PRJ-2018-018-SOV-10,185904.96,190400,0.976
PRJ-2018-018,PRJ-2018-018-SOV-11,131812.86,135000,0.976
PRJ-2018-018,PRJ-2018-018-SOV-12,225174.5,0,2.0
PRJ-2018-018,PRJ-2018-018-SOV-13,0.0,0,0.0
PRJ-2018-018,PRJ-2018-018-SOV-14,0.0,96200,0.0
PRJ-2018-018,PRJ-2018-018-SOV-15,0.0,28300,0.0
PRJ-2018-019,PRJ-2018-019-SOV-01,0.0,535700,0.0
PRJ-2018-019,PRJ-2018-019-SOV-02,0.0,153700,0.0
PRJ-2018-019,PRJ-2018-019-SOV-03,433511.61,419400,1.034
PRJ-2018-019,PRJ-2018-019-SOV-04,519221.14,502300,1.034
PRJ-2018-019,PRJ-2018-019-SOV-05,654113.88,632800,1.034
PRJ-2018-019,PRJ-2018-019-SOV-06,288569.42000000004,279100,1.034
PRJ-2018-019,PRJ-2018-019-SOV-07,2501503.92,0,2.0
PRJ-2018-019,PRJ-2018-019-SOV-08,1955336.8399999999,0,2.0
PRJ-2018-019,PRJ-2018-019-SOV-09,1206004.35,0,2.0
PRJ-2018-019,PRJ-2018-019-SOV-10,793249.89,767400,1.034
PRJ-2018-019,PRJ-2018-019-SOV-11,253678.77,245400,1.034
PRJ-2018-019,PRJ-2018-019-SOV-12,240785.47,0,2.0
PRJ-2018-019,PRJ-2018-019-SOV-13,0.0,0,0.0
PRJ-2018-019,PRJ-2018-019-SOV-14,0.0,143100,0.0
PRJ-2018-019,PRJ-2018-019-SOV-15,0.0,86300,0.0
PRJ-2018-020,PRJ-2018-020-SOV-01,0.0,184800,0.0
PRJ-2018-020,PRJ-2018-020-SOV-02,0.0,51200,0.0
PRJ-2018-020,PRJ-2018-020-SOV-03,304274.07999999996,295800,1.029
PRJ-2018-020,PRJ-2018-020-SOV-04,379789.0,369300,1.028
PRJ-2018-020,PRJ-2018-020-SOV-05,328264.78,319200,1.028
PRJ-2018-020,PRJ-2018-020-SOV-06,134404.7,130600,1.029
PRJ-2018-020,PRJ-2018-020-SOV-07,711815.4,0,2.0
PRJ-2018-020,PRJ-2018-020-SOV-08,803597.58,0,2.0
PRJ-2018-020,PRJ-2018-020-SOV-09,449913.49,0,2.0
PRJ-2018-020,PRJ-2018-020-SOV-10,234793.24,228300,1.028
PRJ-2018-020,PRJ-2018-020-SOV-11,118954.34,115600,1.029
PRJ-2018-020,PRJ-2018-020-SOV-12,165338.88,0,2.0
PRJ-2018-020,PRJ-2018-020-SOV-13,0.0,0,0.0
PRJ-2018-020,PRJ-2018-020-SOV-14,0.0,42000,0.0
PRJ-2018-020,PRJ-2018-020-SOV-15,0.0,54900,0.0
PRJ-2018-021,PRJ-2018-021-SOV-01,0.0,1136300,0.0
PRJ-2018-021,PRJ-2018-021-SOV-02,0.0,438700,0.0
PRJ-2018-021,PRJ-2018-021-SOV-03,1658246.5699999998,1632100,1.016
PRJ-2018-021,PRJ-2018-021-SOV-04,2206822.34,2172100,1.016
PRJ-2018-021,PRJ-2018-021-SOV-05,1450463.2,1427600,1.016
PRJ-2018-021,PRJ-2018-021-SOV-06,814267.8,801400,1.016
PRJ-2018-021,PRJ-2018-021-SOV-07,7435750.05,0,2.0
PRJ-2018-021,PRJ-2018-021-SOV-08,4063671.78,0,2.0
PRJ-2018-021,PRJ-2018-021-SOV-09,2265105.59,0,2.0
PRJ-2018-021,PRJ-2018-021-SOV-10,1370760.5499999998,1349100,1.016
PRJ-2018-021,PRJ-2018-021-SOV-11,660762.1699999999,650300,1.016
PRJ-2018-021,PRJ-2018-021-SOV-12,823470.09,0,2.0
PRJ-2018-021,PRJ-2018-021-SOV-13,0.0,0,0.0
PRJ-2018-021,PRJ-2018-021-SOV-14,0.0,328500,0.0
PRJ-2018-021,PRJ-2018-021-SOV-15,0.0,266800,0.0
PRJ-2018-022,PRJ-2018-022-SOV-01,0.0,780300,0.0
PRJ-2018-022,PRJ-2018-022-SOV-02,0.0,334600,0.0
PRJ-2018-022,PRJ-2018-022-SOV-03,1358545.98,1321900,1.028
PRJ-2018-022,PRJ-2018-022-SOV-04,1164713.95,1133300,1.028
PRJ-2018-022,PRJ-2018-022-SOV-05,1141685.33,1110900,1.028
PRJ-2018-022,PRJ-2018-022-SOV-06,696917.08,678100,1.028
PRJ-2018-022,PRJ-2018-022-SOV-07,4418365.43,0,2.0
PRJ-2018-022,PRJ-2018-022-SOV-08,2227091.1100000003,0,2.0
PRJ-2018-022,PRJ-2018-022-SOV-09,2342789.29,0,2.0
PRJ-2018-022,PRJ-2018-022-SOV-10,502180.62,488600,1.028
PRJ-2018-022,PRJ-2018-022-SOV-11,384609.52,374200,1.028
PRJ-2018-022,PRJ-2018-022-SOV-12,347142.52999999997,0,2.0
PRJ-2018-022,PRJ-2018-022-SOV-13,0.0,0,0.0
PRJ-2018-022,PRJ-2018-022-SOV-14,0.0,274700,0.0
PRJ-2018-022,PRJ-2018-022-SOV-15,0.0,164800,0.0
PRJ-2018-023,PRJ-2018-023-SOV-01,0.0,246000,0.0
PRJ-2018-023,PRJ-2018-023-SOV-02,0.0,92300,0.0
PRJ-2018-023,PRJ-2018-023-SOV-03,251955.02000000002,256200,0.983
PRJ-2018-023,PRJ-2018-023-SOV-04,327536.74,333100,0.983
PRJ-2018-023,PRJ-2018-023-SOV-05,227410.83,231200,0.984
PRJ-2018-023,PRJ-2018-023-SOV-06,218020.11,221700,0.983
PRJ-2018-023,PRJ-2018-023-SOV-07,813350.36,0,2.0
PRJ-2018-023,PRJ-2018-023-SOV-08,934763.59,0,2.0
PRJ-2018-023,PRJ-2018-023-SOV-09,570014.4099999999,0,2.0
PRJ-2018-023,PRJ-2018-023-SOV-10,215693.46000000002,219300,0.984
PRJ-2018-023,PRJ-2018-023-SOV-11,116795.15,118700,0.984
PRJ-2018-023,PRJ-2018-023-SOV-12,104472.34,0,2.0
PRJ-2018-023,PRJ-2018-023-SOV-13,0.0,0,0.0
PRJ-2018-023,PRJ-2018-023-SOV-14,0.0,66800,0.0
PRJ-2018-023,PRJ-2018-023-SOV-15,0.0,31900,0.0
PRJ-2018-024,PRJ-2018-024-SOV-01,0.0,723800,0.0
PRJ-2018-024,PRJ-2018-024-SOV-02,0.0,223900,0.0
PRJ-2018-024,PRJ-2018-024-SOV-03,613995.89,623600,0.985
PRJ-2018-024,PRJ-2018-024-SOV-04,858958.71,872400,0.985
PRJ-2018-024,PRJ-2018-024-SOV-05,626168.54,635900,0.985
PRJ-2018-024,PRJ-2018-024-SOV-06,262176.62,266200,0.985
PRJ-2018-024,PRJ-2018-024-SOV-07,2699715.19,0,2.0
PRJ-2018-024,PRJ-2018-024-SOV-08,1261918.93,0,2.0
PRJ-2018-024,PRJ-2018-024-SOV-09,1285410.79,0,2.0
PRJ-2018-024,PRJ-2018-024-SOV-10,560670.35,569400,0.985
PRJ-2018-024,PRJ-2018-024-SOV-11,199014.98,202100,0.985
PRJ-2018-024,PRJ-2018-024-SOV-12,341894.47,0,2.0
PRJ-2018-024,PRJ-2018-024-SOV-13,0.0,0,0.0
PRJ-2018-024,PRJ-2018-024-SOV-14,0.0,237100,0.0
PRJ-2018-024,PRJ-2018-024-SOV-15,0.0,127500,0.0
PRJ-2018-025,PRJ-2018-025-SOV-01,0.0,601700,0.0
PRJ-2018-025,PRJ-2018-025-SOV-02,0.0,241600,0.0
PRJ-2018-025,PRJ-2018-025-SOV-03,537675.27,545900,0.985
PRJ-2018-025,PRJ-2018-025-SOV-04,985845.4,1001000,0.985
PRJ-2018-025,PRJ-2018-025-SOV-05,736600.81,747900,0.985
PRJ-2018-025,PRJ-2018-025-SOV-06,243632.86,247400,0.985
PRJ-2018-025,PRJ-2018-025-SOV-07,2188898.39,0,2.0
PRJ-2018-025,PRJ-2018-025-SOV-08,1162133.59,0,2.0
