project_id,sov_line_id,total_labor_cost,total_hours_st,total_hours_ot,log_count,unique_employees,date_min,date_max,total_hours
PRJ-2018-003,PRJ-2018-003-SOV-01,323095.51,3612,214,457,446,2018-01-12,2019-08-12,3826
PRJ-2018-003,PRJ-2018-003-SOV-02,122832.54000000001,1356,52,173,170,2018-01-12,2018-06-08,1408
PRJ-2018-003,PRJ-2018-003-SOV-03,152880.62,1752,74,223,221,2018-03-05,2019-08-13,1826
PRJ-2018-003,PRJ-2018-003-SOV-04,165415.23,1764,104,223,219,2018-03-08,2019-08-22,1868
PRJ-2018-003,PRJ-2018-003-SOV-05,145509.54,1600,66,201,200,2018-03-05,2019-08-15,1666
PRJ-2018-003,PRJ-2018-003-SOV-06,83547.99,938,52,119,118,2018-06-11,2019-08-23,990
PRJ-2018-003,PRJ-2018-003-SOV-07,82587.84,888,54,113,113,2018-06-12,2019-08-03,942
PRJ-2018-003,PRJ-2018-003-SOV-08,65245.01,754,42,97,96,2018-06-11,2019-08-06,796
PRJ-2018-003,PRJ-2018-003-SOV-09,183178.93,1990,134,252,247,2018-06-12,2019-08-12,2124
PRJ-2018-003,PRJ-2018-003-SOV-10,101720.38,1122,66,141,141,2018-11-06,2019-03-07,1188
PRJ-2018-003,PRJ-2018-003-SOV-11,128815.79000000001,1446,78,184,182,2018-11-06,2019-08-14,1524
PRJ-2018-003,PRJ-2018-003-SOV-12,77078.51,868,50,111,111,2018-11-07,2019-08-06,918
PRJ-2018-003,PRJ-2018-003-SOV-13,46313.86,522,16,66,66,2019-03-08,2019-05-20,538
PRJ-2018-003,PRJ-2018-003-SOV-14,46849.58,508,30,64,64,2019-03-11,2019-05-20,538
PRJ-2018-003,PRJ-2018-003-SOV-15,26443.23,320,10,42,41,2019-03-08,2019-07-18,330
PRJ-2018-004,PRJ-2018-004-SOV-01,319643.89,3524,212,448,437,2018-03-02,2019-09-03,3736
PRJ-2018-004,PRJ-2018-004-SOV-02,124090.87,1386,44,175,174,2018-03-02,2019-08-31,1430
PRJ-2018-004,PRJ-2018-004-SOV-03,164601.91,1688,146,214,210,2018-04-25,2019-08-15,1834
PRJ-2018-004,PRJ-2018-004-SOV-04,144902.9,1584,114,200,198,2018-04-25,2019-08-13,1698
PRJ-2018-004,PRJ-2018-004-SOV-05,163800.53,1798,104,227,223,2018-04-26,2019-09-02,1902
PRJ-2018-004,PRJ-2018-004-SOV-06,84169.06,914,56,117,117,2018-08-08,2019-01-10,970
PRJ-2018-004,PRJ-2018-004-SOV-07,84552.4,938,44,119,118,2018-08-08,2019-09-01,982
PRJ-2018-004,PRJ-2018-004-SOV-08,80366.7,952,30,120,120,2018-08-09,2019-08-01,982
PRJ-2018-004,PRJ-2018-004-SOV-09,183673.98,2024,100,262,261,2018-08-09,2019-08-29,2124
PRJ-2018-004,PRJ-2018-004-SOV-10,100419.82,1088,86,140,140,2019-01-11,2019-08-05,1174
PRJ-2018-004,PRJ-2018-004-SOV-11,140240.27,1502,88,191,187,2019-01-11,2019-08-14,1590
PRJ-2018-004,PRJ-2018-004-SOV-12,88863.38,962,60,121,121,2019-01-11,2019-08-15,1022
PRJ-2018-004,PRJ-2018-004-SOV-13,43618.45,448,40,57,57,2019-05-23,2019-08-06,488
PRJ-2018-004,PRJ-2018-004-SOV-14,34159.13,364,26,47,47,2019-05-22,2019-08-20,390
PRJ-2018-004,PRJ-2018-004-SOV-15,44197.44,502,32,63,63,2019-05-23,2019-08-07,534
PRJ-2018-005,PRJ-2018-005-SOV-01,196186.25,2120,130,269,266,2018-01-05,2019-01-21,2250
PRJ-2018-005,PRJ-2018-005-SOV-02,76165.86,862,28,110,107,2018-01-03,2018-04-04,890
PRJ-2018-005,PRJ-2018-005-SOV-03,88347.17,1022,42,132,132,2018-02-08,2019-01-19,1064
PRJ-2018-005,PRJ-2018-005-SOV-04,95226.4,990,72,124,124,2018-02-02,2019-01-06,1062
PRJ-2018-005,PRJ-2018-005-SOV-05,93798.71,1024,48,128,125,2018-02-05,2019-02-07,1072
PRJ-2018-005,PRJ-2018-005-SOV-06,54643.78,606,40,78,77,2018-04-06,2018-07-05,646
PRJ-2018-005,PRJ-2018-005-SOV-07,49421.7,508,40,65,65,2018-04-05,2019-01-06,548
PRJ-2018-005,PRJ-2018-005-SOV-08,51148.87,570,30,74,74,2018-04-05,2018-07-05,600
PRJ-2018-005,PRJ-2018-005-SOV-09,102238.28,1112,50,139,139,2018-04-05,2019-02-16,1162
PRJ-2018-005,PRJ-2018-005-SOV-10,70343.84,778,52,98,97,2018-07-06,2019-01-10,830
PRJ-2018-005,PRJ-2018-005-SOV-11,80118.35,902,40,114,114,2018-07-06,2018-11-05,942
PRJ-2018-005,PRJ-2018-005-SOV-12,60359.17,600,56,76,75,2018-07-06,2019-02-15,656
PRJ-2018-005,PRJ-2018-005-SOV-13,24597.44,242,18,31,31,2018-09-21,2018-11-06,260
PRJ-2018-005,PRJ-2018-005-SOV-14,25351.38,244,32,31,31,2018-09-21,2018-11-05,276
PRJ-2018-005,PRJ-2018-005-SOV-15,27401.15,318,24,40,40,2018-09-21,2019-02-12,342
PRJ-2018-006,PRJ-2018-006-SOV-01,382588.38,4264,208,545,529,2018-02-19,2019-10-13,4472
PRJ-2018-006,PRJ-2018-006-SOV-02,129029.73,1390,96,176,174,2018-02-19,2019-10-02,1486
PRJ-2018-006,PRJ-2018-006-SOV-03,164417.48,1790,114,227,223,2018-04-16,2019-10-12,1904
PRJ-2018-006,PRJ-2018-006-SOV-04,184260.5,2058,104,261,257,2018-04-16,2019-10-05,2162
PRJ-2018-006,PRJ-2018-006-SOV-05,160643.68,1740,98,220,218,2018-04-17,2019-10-12,1838
PRJ-2018-006,PRJ-2018-006-SOV-06,76469.08,858,28,107,106,2018-08-03,2019-10-09,886
PRJ-2018-006,PRJ-2018-006-SOV-07,91473.42,1014,52,130,127,2018-08-06,2019-10-17,1066
PRJ-2018-006,PRJ-2018-006-SOV-08,70109.5,800,30,100,100,2018-08-03,2019-10-04,830
PRJ-2018-006,PRJ-2018-006-SOV-09,191144.51,2022,142,256,252,2018-08-03,2019-10-12,2164
PRJ-2018-006,PRJ-2018-006-SOV-10,105875.07,1166,64,148,148,2019-01-17,2019-10-11,1230
PRJ-2018-006,PRJ-2018-006-SOV-11,154522.77,1754,98,222,218,2019-01-17,2019-10-11,1852
PRJ-2018-006,PRJ-2018-006-SOV-12,100153.81,1078,58,137,136,2019-01-17,2019-06-03,1136
PRJ-2018-006,PRJ-2018-006-SOV-13,39625.06,444,24,56,56,2019-06-05,2019-08-26,468
PRJ-2018-006,PRJ-2018-006-SOV-14,40320.11,424,22,56,56,2019-06-05,2019-09-26,446
PRJ-2018-006,PRJ-2018-006-SOV-15,44252.82,496,28,62,62,2019-06-05,2019-09-23,524
PRJ-2018-007,PRJ-2018-007-SOV-01,204866.31,2314,114,293,286,2018-04-02,2019-03-03,2428
PRJ-2018-007,PRJ-2018-007-SOV-02,81000.43000000001,864,34,110,108,2018-04-03,2019-03-02,898
PRJ-2018-007,PRJ-2018-007-SOV-03,114751.14,1228,64,154,153,2018-05-02,2019-02-14,1292
PRJ-2018-007,PRJ-2018-007-SOV-04,105473.35,1152,60,150,149,2018-05-02,2019-02-25,1212
PRJ-2018-007,PRJ-2018-007-SOV-05,92074.28,1000,58,127,126,2018-05-04,2019-02-23,1058
PRJ-2018-007,PRJ-2018-007-SOV-06,43623.45,480,20,61,61,2018-07-04,2018-10-01,500
PRJ-2018-007,PRJ-2018-007-SOV-07,45719.76,546,30,69,68,2018-07-03,2019-02-09,576
PRJ-2018-007,PRJ-2018-007-SOV-08,53424.06,598,16,76,76,2018-07-03,2018-09-27,614
PRJ-2018-007,PRJ-2018-007-SOV-09,99814.87,1094,68,141,138,2018-07-03,2019-03-01,1162
PRJ-2018-007,PRJ-2018-007-SOV-10,55021.58,590,44,74,74,2018-10-03,2019-01-27,634
PRJ-2018-007,PRJ-2018-007-SOV-11,74864.48,822,62,104,104,2018-10-03,2019-02-07,884
PRJ-2018-007,PRJ-2018-007-SOV-12,68818.58,760,26,97,97,2018-10-03,2019-03-06,786
PRJ-2018-007,PRJ-2018-007-SOV-13,32700.670000000002,328,16,41,41,2018-12-19,2019-02-01,344
PRJ-2018-007,PRJ-2018-007-SOV-14,22776.99,252,10,33,33,2018-12-19,2019-02-01,262
PRJ-2018-007,PRJ-2018-007-SOV-15,15266.300000000001,200,4,26,25,2018-12-19,2019-02-01,204
PRJ-2018-008,PRJ-2018-008-SOV-01,634366.65,6844,426,870,835,2018-02-21,2020-02-01,7270
PRJ-2018-008,PRJ-2018-008-SOV-02,210218.85,2294,144,289,281,2018-02-22,2020-02-01,2438
PRJ-2018-008,PRJ-2018-008-SOV-03,324574.83,3668,182,466,458,2018-05-07,2020-01-22,3850
PRJ-2018-008,PRJ-2018-008-SOV-04,344704.98,3794,236,479,464,2018-05-03,2020-01-26,4030
PRJ-2018-008,PRJ-2018-008-SOV-05,360594.96,3992,166,504,481,2018-05-03,2020-01-27,4158
PRJ-2018-008,PRJ-2018-008-SOV-06,173485.22,1898,108,242,238,2018-09-21,2020-01-30,2006
PRJ-2018-008,PRJ-2018-008-SOV-07,160909.39,1784,126,225,223,2018-09-24,2020-01-17,1910
PRJ-2018-008,PRJ-2018-008-SOV-08,168455.97,1874,120,236,234,2018-09-21,2020-01-09,1994
PRJ-2018-008,PRJ-2018-008-SOV-09,336088.82,3620,208,462,455,2018-09-21,2020-01-15,3828
PRJ-2018-008,PRJ-2018-008-SOV-10,155167.03,1712,106,219,215,2019-04-23,2020-01-24,1818
PRJ-2018-008,PRJ-2018-008-SOV-11,203052.65,2282,120,290,289,2019-04-23,2020-02-02,2402
PRJ-2018-008,PRJ-2018-008-SOV-12,176581.12,1988,102,253,248,2019-04-23,2020-01-30,2090
PRJ-2018-008,PRJ-2018-008-SOV-13,52892.46,586,36,74,74,2019-10-17,2020-01-27,622
PRJ-2018-008,PRJ-2018-008-SOV-14,55115.33,618,14,78,77,2019-10-17,2020-01-29,632
PRJ-2018-008,PRJ-2018-008-SOV-15,44002.93,500,30,63,62,2019-10-23,2020-01-27,530
PRJ-2018-009,PRJ-2018-009-SOV-01,248053.59,2758,170,352,349,2018-03-19,2019-04-19,2928
PRJ-2018-009,PRJ-2018-009-SOV-02,79615.57,856,70,109,109,2018-03-19,2018-07-06,926
PRJ-2018-009,PRJ-2018-009-SOV-03,108352.89,1262,42,161,158,2018-04-26,2018-10-25,1304
PRJ-2018-009,PRJ-2018-009-SOV-04,113527.6,1268,66,161,156,2018-04-26,2018-10-23,1334
PRJ-2018-009,PRJ-2018-009-SOV-05,129575.43000000001,1370,84,177,177,2018-04-25,2019-04-01,1454
PRJ-2018-009,PRJ-2018-009-SOV-06,65528.28,666,58,83,83,2018-07-10,2018-10-25,724
PRJ-2018-009,PRJ-2018-009-SOV-07,66958.42,742,46,96,94,2018-07-09,2019-03-10,788
PRJ-2018-009,PRJ-2018-009-SOV-08,47187.24,526,36,68,68,2018-07-12,2019-03-14,562
PRJ-2018-009,PRJ-2018-009-SOV-09,141844.09,1504,108,190,187,2018-07-09,2019-04-09,1612
PRJ-2018-009,PRJ-2018-009-SOV-10,71806.2,730,54,92,91,2018-10-29,2019-04-14,784
PRJ-2018-009,PRJ-2018-009-SOV-11,84244.64,918,64,116,116,2018-10-29,2019-03-31,982
PRJ-2018-009,PRJ-2018-009-SOV-12,68943.25,722,38,92,92,2018-10-26,2019-04-01,760
PRJ-2018-009,PRJ-2018-009-SOV-13,35967.88,386,16,49,49,2019-01-29,2019-03-21,402
PRJ-2018-009,PRJ-2018-009-SOV-14,32237.06,358,20,44,44,2019-01-28,2019-03-21,378
PRJ-2018-009,PRJ-2018-009-SOV-15,32711.87,360,18,47,47,2019-01-28,2019-03-19,378
PRJ-2018-010,PRJ-2018-010-SOV-01,175430.78,1954,106,248,248,2018-02-05,2018-11-22,2060
PRJ-2018-010,PRJ-2018-010-SOV-02,60381.7,638,50,82,82,2018-02-05,2018-04-18,688
PRJ-2018-010,PRJ-2018-010-SOV-03,74527.65,784,58,100,99,2018-03-01,2018-11-12,842
PRJ-2018-010,PRJ-2018-010-SOV-04,78073.55,862,48,108,108,2018-03-01,2018-11-23,910
PRJ-2018-010,PRJ-2018-010-SOV-05,84439.07,920,68,117,115,2018-03-02,2018-10-19,988
PRJ-2018-010,PRJ-2018-010-SOV-06,38306.85,454,16,57,57,2018-04-23,2018-10-19,470
PRJ-2018-010,PRJ-2018-010-SOV-07,43705.14,486,26,61,61,2018-04-19,2018-07-02,512
PRJ-2018-010,PRJ-2018-010-SOV-08,44275.98,460,22,59,59,2018-04-19,2018-10-28,482
PRJ-2018-010,PRJ-2018-010-SOV-09,89706.53,1020,30,129,129,2018-04-19,2018-11-17,1050
PRJ-2018-010,PRJ-2018-010-SOV-10,39677.98,452,22,56,56,2018-07-03,2018-08-31,474
PRJ-2018-010,PRJ-2018-010-SOV-11,64495.38,678,42,86,86,2018-07-03,2018-11-11,720
PRJ-2018-010,PRJ-2018-010-SOV-12,48403.64,542,28,68,67,2018-07-03,2018-11-25,570
PRJ-2018-010,PRJ-2018-010-SOV-13,20548.2,250,6,32,32,2018-09-04,2018-11-12,256
PRJ-2018-010,PRJ-2018-010-SOV-14,21652.05,226,10,28,28,2018-09-03,2018-11-13,236
PRJ-2018-010,PRJ-2018-010-SOV-15,16730.14,196,0,25,25,2018-09-03,2018-10-05,196
PRJ-2018-011,PRJ-2018-011-SOV-01,253400.58000000002,2698,140,342,333,2018-02-05,2019-03-08,2838
PRJ-2018-011,PRJ-2018-011-SOV-02,97833.46,1070,64,135,135,2018-02-02,2018-06-01,1134
PRJ-2018-011,PRJ-2018-011-SOV-03,124516.07,1382,102,174,174,2018-03-15,2018-09-27,1484
PRJ-2018-011,PRJ-2018-011-SOV-04,115733.94,1226,88,155,155,2018-03-15,2018-09-27,1314
PRJ-2018-011,PRJ-2018-011-SOV-05,141175.27,1540,80,194,191,2018-03-15,2018-10-01,1620
PRJ-2018-011,PRJ-2018-011-SOV-06,65792.41,754,28,95,95,2018-06-04,2018-09-25,782
PRJ-2018-011,PRJ-2018-011-SOV-07,62620.45,656,36,83,82,2018-06-04,2018-10-01,692
PRJ-2018-011,PRJ-2018-011-SOV-08,55452.99,634,18,81,81,2018-06-05,2018-10-01,652
PRJ-2018-011,PRJ-2018-011-SOV-09,137519.34,1548,76,195,191,2018-06-04,2019-01-09,1624
PRJ-2018-011,PRJ-2018-011-SOV-10,66081.58,706,44,89,89,2018-10-02,2019-01-07,750
PRJ-2018-011,PRJ-2018-011-SOV-11,120651.45,1292,90,165,163,2018-10-02,2019-03-07,1382
PRJ-2018-011,PRJ-2018-011-SOV-12,76204.53,800,66,101,101,2018-10-02,2019-01-08,866
PRJ-2018-011,PRJ-2018-011-SOV-13,34133.88,336,30,42,42,2019-01-10,2019-03-08,366
PRJ-2018-011,PRJ-2018-011-SOV-14,26210.77,318,16,39,39,2019-01-11,2019-03-07,334
PRJ-2018-011,PRJ-2018-011-SOV-15,31863.13,376,22,48,48,2019-01-10,2019-03-08,398
PRJ-2018-012,PRJ-2018-012-SOV-01,343087.21,3758,220,476,464,2018-02-16,2019-06-24,3978
PRJ-2018-012,PRJ-2018-012-SOV-02,118581.3,1280,66,161,160,2018-02-20,2018-07-13,1346
PRJ-2018-012,PRJ-2018-012-SOV-03,143448.17,1574,92,199,197,2018-04-11,2018-12-06,1666
PRJ-2018-012,PRJ-2018-012-SOV-04,135690.62,1550,82,196,194,2018-04-12,2018-12-10,1632
PRJ-2018-012,PRJ-2018-012-SOV-05,156526.74,1718,98,217,215,2018-04-09,2018-12-10,1816
PRJ-2018-012,PRJ-2018-012-SOV-06,99614.03,1054,64,134,134,2018-07-16,2018-12-07,1118
PRJ-2018-012,PRJ-2018-012-SOV-07,83551.42,914,64,116,113,2018-07-16,2018-12-10,978
PRJ-2018-012,PRJ-2018-012-SOV-08,100043.57,1130,46,144,144,2018-07-16,2018-12-10,1176
PRJ-2018-012,PRJ-2018-012-SOV-09,173564.97,1876,140,236,234,2018-07-16,2019-04-11,2016
PRJ-2018-012,PRJ-2018-012-SOV-10,86757.75,952,56,120,120,2018-12-11,2019-04-11,1008
PRJ-2018-012,PRJ-2018-012-SOV-11,138096.8,1540,78,196,191,2018-12-11,2019-06-24,1618
PRJ-2018-012,PRJ-2018-012-SOV-12,87147.0,954,52,121,121,2018-12-11,2019-04-11,1006
PRJ-2018-012,PRJ-2018-012-SOV-13,32086.48,346,38,45,45,2019-04-15,2019-06-20,384
PRJ-2018-012,PRJ-2018-012-SOV-14,33278.33,364,12,48,48,2019-04-12,2019-06-24,376
PRJ-2018-012,PRJ-2018-012-SOV-15,41217.91,428,22,54,54,2019-04-12,2019-06-24,450
PRJ-2018-013,PRJ-2018-013-SOV-01,372416.04,4060,238,516,493,2018-01-08,2019-08-09,4298
PRJ-2018-013,PRJ-2018-013-SOV-02,141479.48,1548,88,194,192,2018-01-08,2018-07-02,1636
PRJ-2018-013,PRJ-2018-013-SOV-03,190712.67,2050,122,261,258,2018-03-08,2018-12-20,2172
PRJ-2018-013,PRJ-2018-013-SOV-04,178826.11,1988,138,251,246,2018-03-07,2018-12-24,2126
PRJ-2018-013,PRJ-2018-013-SOV-05,187253.75,2022,110,257,253,2018-03-08,2018-12-24,2132
PRJ-2018-013,PRJ-2018-013-SOV-06,84326.09,928,44,118,117,2018-07-06,2018-12-21,972
PRJ-2018-013,PRJ-2018-013-SOV-07,111020.16,1210,88,153,153,2018-07-03,2018-12-24,1298
PRJ-2018-013,PRJ-2018-013-SOV-08,94921.28,1070,36,135,132,2018-07-03,2018-12-24,1106
PRJ-2018-013,PRJ-2018-013-SOV-09,191884.97,2186,110,277,275,2018-07-04,2019-05-20,2296
PRJ-2018-013,PRJ-2018-013-SOV-10,97668.14,1072,54,137,134,2018-12-25,2019-05-20,1126
PRJ-2018-013,PRJ-2018-013-SOV-11,167572.73,1836,106,231,230,2018-12-25,2019-08-14,1942
PRJ-2018-013,PRJ-2018-013-SOV-12,94260.76,1054,52,135,135,2018-12-25,2019-05-17,1106
PRJ-2018-013,PRJ-2018-013-SOV-13,44344.25,504,26,65,65,2019-05-21,2019-08-14,530
PRJ-2018-013,PRJ-2018-013-SOV-14,45457.73,514,14,67,66,2019-05-21,2019-08-14,528
PRJ-2018-013,PRJ-2018-013-SOV-15,40067.72,432,30,54,54,2019-05-21,2019-08-14,462
PRJ-2018-014,PRJ-2018-014-SOV-01,292508.77,3096,196,396,389,2018-01-22,2019-03-27,3292
PRJ-2018-014,PRJ-2018-014-SOV-02,96484.74,1026,74,130,130,2018-01-22,2018-05-30,1100
PRJ-2018-014,PRJ-2018-014-SOV-03,133653.28,1510,72,192,192,2018-03-07,2018-10-03,1582
PRJ-2018-014,PRJ-2018-014-SOV-04,135228.77,1508,82,193,191,2018-03-08,2018-10-05,1590
PRJ-2018-014,PRJ-2018-014-SOV-05,134952.11000000002,1552,84,197,195,2018-03-06,2018-10-03,1636
PRJ-2018-014,PRJ-2018-014-SOV-06,74037.76,806,42,101,100,2018-05-31,2018-10-05,848
PRJ-2018-014,PRJ-2018-014-SOV-07,83374.5,908,64,115,113,2018-05-31,2018-10-05,972
PRJ-2018-014,PRJ-2018-014-SOV-08,82400.77,894,50,113,112,2018-05-31,2018-10-05,944
PRJ-2018-014,PRJ-2018-014-SOV-09,138188.81,1506,86,190,189,2018-05-31,2019-01-21,1592
PRJ-2018-014,PRJ-2018-014-SOV-10,72579.67,778,50,98,98,2018-10-08,2019-01-22,828
PRJ-2018-014,PRJ-2018-014-SOV-11,98795.38,1118,66,142,139,2018-10-08,2019-03-27,1184
PRJ-2018-014,PRJ-2018-014-SOV-12,67881.08,742,28,95,95,2018-10-08,2019-01-17,770
PRJ-2018-014,PRJ-2018-014-SOV-13,33095.43,350,32,44,44,2019-01-23,2019-03-27,382
PRJ-2018-014,PRJ-2018-014-SOV-14,35328.28,366,38,46,46,2019-01-23,2019-03-27,404
PRJ-2018-014,PRJ-2018-014-SOV-15,43845.28,454,24,58,57,2019-01-23,2019-03-27,478
PRJ-2018-015,PRJ-2018-015-SOV-01,494577.39,5534,274,703,681,2018-02-20,2019-09-24,5808
PRJ-2018-015,PRJ-2018-015-SOV-02,183265.72,2046,116,259,253,2018-02-19,2018-08-13,2162
PRJ-2018-015,PRJ-2018-015-SOV-03,280186.44,3088,162,391,384,2018-04-20,2019-02-04,3250
PRJ-2018-015,PRJ-2018-015-SOV-04,261787.52,2868,170,367,360,2018-04-23,2019-02-04,3038
PRJ-2018-015,PRJ-2018-015-SOV-05,285301.96,3034,204,390,388,2018-04-18,2019-02-04,3238
PRJ-2018-015,PRJ-2018-015-SOV-06,158062.06,1742,106,221,218,2018-08-14,2019-02-01,1848
PRJ-2018-015,PRJ-2018-015-SOV-07,131308.54,1506,70,191,189,2018-08-16,2019-02-04,1576
PRJ-2018-015,PRJ-2018-015-SOV-08,152549.1,1592,122,201,200,2018-08-14,2019-02-04,1714
PRJ-2018-015,PRJ-2018-015-SOV-09,292946.73,3102,212,395,384,2018-08-15,2019-07-01,3314
PRJ-2018-015,PRJ-2018-015-SOV-10,146659.76,1638,90,208,205,2019-02-05,2019-06-28,1728
PRJ-2018-015,PRJ-2018-015-SOV-11,197857.03,2204,88,279,274,2019-02-05,2019-09-25,2292
PRJ-2018-015,PRJ-2018-015-SOV-12,149449.75,1580,106,201,196,2019-02-05,2019-07-01,1686
PRJ-2018-015,PRJ-2018-015-SOV-13,46916.45,528,26,67,67,2019-07-03,2019-09-25,554
PRJ-2018-015,PRJ-2018-015-SOV-14,51440.25,528,42,66,66,2019-07-04,2019-09-25,570
PRJ-2018-015,PRJ-2018-015-SOV-15,46646.56,480,44,62,62,2019-07-02,2019-09-23,524
PRJ-2018-016,PRJ-2018-016-SOV-01,504843.19,5646,298,723,706,2018-02-27,2019-10-02,5944
PRJ-2018-016,PRJ-2018-016-SOV-02,188807.69,2068,138,260,256,2018-03-01,2018-08-21,2206
PRJ-2018-016,PRJ-2018-016-SOV-03,300696.02,3240,170,411,402,2018-05-01,2019-02-12,3410
PRJ-2018-016,PRJ-2018-016-SOV-04,295931.7,3206,190,404,396,2018-04-27,2019-02-11,3396
PRJ-2018-016,PRJ-2018-016-SOV-05,242455.19,2740,140,345,338,2018-04-26,2019-02-12,2880
PRJ-2018-016,PRJ-2018-016-SOV-06,148011.65,1594,120,200,198,2018-08-22,2019-02-12,1714
PRJ-2018-016,PRJ-2018-016-SOV-07,146161.55,1562,108,199,198,2018-08-22,2019-02-12,1670
PRJ-2018-016,PRJ-2018-016-SOV-08,134428.44,1488,78,188,185,2018-08-22,2019-02-12,1566
PRJ-2018-016,PRJ-2018-016-SOV-09,291503.96,3204,202,404,398,2018-08-22,2019-07-05,3406
PRJ-2018-016,PRJ-2018-016-SOV-10,142388.45,1572,84,200,198,2019-02-13,2019-07-09,1656
PRJ-2018-016,PRJ-2018-016-SOV-11,217780.64,2316,128,291,288,2019-02-13,2019-10-01,2444
PRJ-2018-016,PRJ-2018-016-SOV-12,156233.72,1702,124,215,214,2019-02-13,2019-07-09,1826
PRJ-2018-016,PRJ-2018-016-SOV-13,30606.06,354,16,45,45,2019-07-10,2019-10-03,370
PRJ-2018-016,PRJ-2018-016-SOV-14,46898.41,498,34,62,62,2019-07-10,2019-10-03,532
PRJ-2018-016,PRJ-2018-016-SOV-15,44799.17,500,24,63,63,2019-07-10,2019-10-02,524
PRJ-2018-017,PRJ-2018-017-SOV-01,198940.87,2240,108,284,279,2018-03-02,2019-01-02,2348
PRJ-2018-017,PRJ-2018-017-SOV-02,76211.22,838,78,107,107,2018-03-01,2018-05-31,916
PRJ-2018-017,PRJ-2018-017-SOV-03,95136.59,1022,76,129,129,2018-04-03,2018-08-30,1098
PRJ-2018-017,PRJ-2018-017-SOV-04,97760.75,1052,76,133,132,2018-04-02,2018-08-29,1128
PRJ-2018-017,PRJ-2018-017-SOV-05,97458.51,1006,66,128,128,2018-04-03,2018-08-31,1072
PRJ-2018-017,PRJ-2018-017-SOV-06,50262.9,590,24,75,75,2018-06-01,2018-08-31,614
