project_id,sov_line_id,material_total_cost
PRJ-2018-004,PRJ-2018-004-SOV-10,354301.05
PRJ-2018-004,PRJ-2018-004-SOV-11,168459.93
PRJ-2018-004,PRJ-2018-004-SOV-12,161431.94
PRJ-2018-004,PRJ-2018-004-SOV-19,45259.11
PRJ-2018-004,PRJ-2018-004-SOV-21,66809.45
PRJ-2018-004,PRJ-2018-004-SOV-23,19774.28
PRJ-2018-005,PRJ-2018-005-SOV-03,302809.02
PRJ-2018-005,PRJ-2018-005-SOV-04,394230.44999999995
PRJ-2018-005,PRJ-2018-005-SOV-05,232671.6
PRJ-2018-005,PRJ-2018-005-SOV-06,182260.18
PRJ-2018-005,PRJ-2018-005-SOV-07,880490.9
PRJ-2018-005,PRJ-2018-005-SOV-08,581533.69
PRJ-2018-005,PRJ-2018-005-SOV-09,437748.37
PRJ-2018-005,PRJ-2018-005-SOV-10,122342.11
PRJ-2018-005,PRJ-2018-005-SOV-11,83762.14
PRJ-2018-005,PRJ-2018-005-SOV-12,131368.37
PRJ-2018-006,PRJ-2018-006-SOV-03,308070.95
PRJ-2018-006,PRJ-2018-006-SOV-04,336710.74
PRJ-2018-006,PRJ-2018-006-SOV-05,324300.39
PRJ-2018-006,PRJ-2018-006-SOV-06,179410.19
PRJ-2018-006,PRJ-2018-006-SOV-07,1110412.85
PRJ-2018-006,PRJ-2018-006-SOV-08,852018.63
PRJ-2018-006,PRJ-2018-006-SOV-09,631347.34
PRJ-2018-006,PRJ-2018-006-SOV-10,279641.31
PRJ-2018-006,PRJ-2018-006-SOV-11,176379.56
PRJ-2018-006,PRJ-2018-006-SOV-12,187699.88
PRJ-2018-006,PRJ-2018-006-SOV-21,304599.1
PRJ-2018-007,PRJ-2018-007-SOV-03,420180.62
PRJ-2018-007,PRJ-2018-007-SOV-04,909608.12
PRJ-2018-007,PRJ-2018-007-SOV-05,603291.38
PRJ-2018-007,PRJ-2018-007-SOV-06,480063.8
PRJ-2018-007,PRJ-2018-007-SOV-07,1510346.67
PRJ-2018-007,PRJ-2018-007-SOV-08,1625841.76
PRJ-2018-007,PRJ-2018-007-SOV-09,918795.98
PRJ-2018-007,PRJ-2018-007-SOV-10,419308.42
PRJ-2018-007,PRJ-2018-007-SOV-11,330942.92
PRJ-2018-007,PRJ-2018-007-SOV-12,326785.32999999996
PRJ-2018-007,PRJ-2018-007-SOV-20,76871.61
PRJ-2018-007,PRJ-2018-007-SOV-21,33575.11
PRJ-2018-007,PRJ-2018-007-SOV-22,239350.83
PRJ-2018-008,PRJ-2018-008-SOV-03,169187.43
PRJ-2018-008,PRJ-2018-008-SOV-04,208821.97
PRJ-2018-008,PRJ-2018-008-SOV-05,200969.2
PRJ-2018-008,PRJ-2018-008-SOV-06,97260.24
PRJ-2018-008,PRJ-2018-008-SOV-07,740214.1799999999
PRJ-2018-008,PRJ-2018-008-SOV-08,343038.23
PRJ-2018-008,PRJ-2018-008-SOV-09,436246.36
PRJ-2018-008,PRJ-2018-008-SOV-10,158671.26
PRJ-2018-008,PRJ-2018-008-SOV-11,102982.32
PRJ-2018-008,PRJ-2018-008-SOV-12,134812.37
PRJ-2018-008,PRJ-2018-008-SOV-21,16767.96
PRJ-2018-009,PRJ-2018-009-SOV-03,308764.86
PRJ-2018-009,PRJ-2018-009-SOV-04,640240.15
PRJ-2018-009,PRJ-2018-009-SOV-05,397013.24
PRJ-2018-009,PRJ-2018-009-SOV-06,323665.15
PRJ-2018-009,PRJ-2018-009-SOV-07,1762905.3399999999
PRJ-2018-009,PRJ-2018-009-SOV-08,1019741.13
PRJ-2018-009,PRJ-2018-009-SOV-09,811987.58
PRJ-2018-009,PRJ-2018-009-SOV-10,371350.08999999997
PRJ-2018-009,PRJ-2018-009-SOV-11,152150.52000000002
PRJ-2018-009,PRJ-2018-009-SOV-12,215831.81
PRJ-2018-009,PRJ-2018-009-SOV-17,57973.88
PRJ-2018-009,PRJ-2018-009-SOV-19,43200.56
PRJ-2018-009,PRJ-2018-009-SOV-23,22648.0
PRJ-2018-010,PRJ-2018-010-SOV-03,293298.55
PRJ-2018-010,PRJ-2018-010-SOV-04,631365.42
PRJ-2018-010,PRJ-2018-010-SOV-05,309644.67
PRJ-2018-010,PRJ-2018-010-SOV-06,259390.62
PRJ-2018-010,PRJ-2018-010-SOV-07,1477727.05
PRJ-2018-010,PRJ-2018-010-SOV-08,1006407.57
PRJ-2018-010,PRJ-2018-010-SOV-09,830287.88
PRJ-2018-010,PRJ-2018-010-SOV-10,259483.41
PRJ-2018-010,PRJ-2018-010-SOV-11,198341.35
PRJ-2018-010,PRJ-2018-010-SOV-12,231087.52
PRJ-2018-010,PRJ-2018-010-SOV-24,136740.65
PRJ-2018-011,PRJ-2018-011-SOV-03,1673514.5499999998
PRJ-2018-011,PRJ-2018-011-SOV-04,2251027.12
PRJ-2018-011,PRJ-2018-011-SOV-05,1566102.45
PRJ-2018-011,PRJ-2018-011-SOV-06,523766.89
PRJ-2018-011,PRJ-2018-011-SOV-07,4777823.95
PRJ-2018-011,PRJ-2018-011-SOV-08,3357755.95
PRJ-2018-011,PRJ-2018-011-SOV-09,3206134.6
PRJ-2018-011,PRJ-2018-011-SOV-10,1418068.98
PRJ-2018-011,PRJ-2018-011-SOV-11,654951.06
PRJ-2018-011,PRJ-2018-011-SOV-12,631994.24
PRJ-2018-011,PRJ-2018-011-SOV-20,51960.65
PRJ-2018-012,PRJ-2018-012-SOV-03,304672.97
PRJ-2018-012,PRJ-2018-012-SOV-04,401611.74
PRJ-2018-012,PRJ-2018-012-SOV-05,253283.88999999998
PRJ-2018-012,PRJ-2018-012-SOV-06,125494.57
PRJ-2018-012,PRJ-2018-012-SOV-07,925131.55
PRJ-2018-012,PRJ-2018-012-SOV-08,858636.23
PRJ-2018-012,PRJ-2018-012-SOV-09,445714.92
PRJ-2018-012,PRJ-2018-012-SOV-10,246336.21
PRJ-2018-012,PRJ-2018-012-SOV-11,138639.26
PRJ-2018-012,PRJ-2018-012-SOV-12,110668.76
PRJ-2018-012,PRJ-2018-012-SOV-17,2034.07
PRJ-2018-012,PRJ-2018-012-SOV-19,576535.49
PRJ-2018-012,PRJ-2018-012-SOV-20,134313.06
PRJ-2018-013,PRJ-2018-013-SOV-03,141135.38
PRJ-2018-013,PRJ-2018-013-SOV-04,142492.57
PRJ-2018-013,PRJ-2018-013-SOV-05,129975.4
PRJ-2018-013,PRJ-2018-013-SOV-06,85565.1
PRJ-2018-013,PRJ-2018-013-SOV-07,539915.12
PRJ-2018-013,PRJ-2018-013-SOV-08,337387.80000000005
PRJ-2018-013,PRJ-2018-013-SOV-09,237977.5
PRJ-2018-013,PRJ-2018-013-SOV-10,121940.70999999999
PRJ-2018-013,PRJ-2018-013-SOV-11,71016.23
PRJ-2018-013,PRJ-2018-013-SOV-12,66780.52
PRJ-2018-014,PRJ-2018-014-SOV-03,382466.01
PRJ-2018-014,PRJ-2018-014-SOV-04,520886.39
PRJ-2018-014,PRJ-2018-014-SOV-05,367497.84
PRJ-2018-014,PRJ-2018-014-SOV-06,189897.71
PRJ-2018-014,PRJ-2018-014-SOV-07,1166415.3199999998
PRJ-2018-014,PRJ-2018-014-SOV-08,921576.62
PRJ-2018-014,PRJ-2018-014-SOV-09,703056.31
PRJ-2018-014,PRJ-2018-014-SOV-10,346839.14
PRJ-2018-014,PRJ-2018-014-SOV-11,178207.74
PRJ-2018-014,PRJ-2018-014-SOV-12,126967.70999999999
PRJ-2018-015,PRJ-2018-015-SOV-03,690770.22
PRJ-2018-015,PRJ-2018-015-SOV-04,978760.0
PRJ-2018-015,PRJ-2018-015-SOV-05,514127.53
PRJ-2018-015,PRJ-2018-015-SOV-06,575128.88
PRJ-2018-015,PRJ-2018-015-SOV-07,2538304.15
PRJ-2018-015,PRJ-2018-015-SOV-08,1883559.65
PRJ-2018-015,PRJ-2018-015-SOV-09,1733711.02
PRJ-2018-015,PRJ-2018-015-SOV-10,659057.15
PRJ-2018-015,PRJ-2018-015-SOV-11,309939.82
PRJ-2018-015,PRJ-2018-015-SOV-12,395327.46
PRJ-2018-016,PRJ-2018-016-SOV-03,634531.47
PRJ-2018-016,PRJ-2018-016-SOV-04,708525.84
PRJ-2018-016,PRJ-2018-016-SOV-05,773547.8
PRJ-2018-016,PRJ-2018-016-SOV-06,484599.7
PRJ-2018-016,PRJ-2018-016-SOV-07,1824894.94
PRJ-2018-016,PRJ-2018-016-SOV-08,2119052.45
PRJ-2018-016,PRJ-2018-016-SOV-09,1242583.24
PRJ-2018-016,PRJ-2018-016-SOV-10,562846.88
PRJ-2018-016,PRJ-2018-016-SOV-11,387774.81
PRJ-2018-016,PRJ-2018-016-SOV-12,366129.35
PRJ-2018-017,PRJ-2018-017-SOV-03,655547.88
PRJ-2018-017,PRJ-2018-017-SOV-04,899916.89
PRJ-2018-017,PRJ-2018-017-SOV-05,540060.36
PRJ-2018-017,PRJ-2018-017-SOV-06,294124.7
PRJ-2018-017,PRJ-2018-017-SOV-07,2145539.1
PRJ-2018-017,PRJ-2018-017-SOV-08,1311665.6400000001
PRJ-2018-017,PRJ-2018-017-SOV-09,959049.37
PRJ-2018-017,PRJ-2018-017-SOV-10,589231.41
PRJ-2018-017,PRJ-2018-017-SOV-11,243302.59999999998
PRJ-2018-017,PRJ-2018-017-SOV-12,249802.71
PRJ-2018-018,PRJ-2018-018-SOV-03,236014.95
PRJ-2018-018,PRJ-2018-018-SOV-04,334782.23
PRJ-2018-018,PRJ-2018-018-SOV-05,454462.77
PRJ-2018-018,PRJ-2018-018-SOV-06,192530.57
PRJ-2018-018,PRJ-2018-018-SOV-07,1097083.0699999998
PRJ-2018-018,PRJ-2018-018-SOV-08,934527.45
PRJ-2018-018,PRJ-2018-018-SOV-09,670798.87
PRJ-2018-018,PRJ-2018-018-SOV-10,185904.96
PRJ-2018-018,PRJ-2018-018-SOV-11,131812.86
PRJ-2018-018,PRJ-2018-018-SOV-12,225174.5
PRJ-2018-018,PRJ-2018-018-SOV-17,19182.73
PRJ-2018-018,PRJ-2018-018-SOV-21,16533.43
PRJ-2018-018,PRJ-2018-018-SOV-22,83798.91
PRJ-2018-019,PRJ-2018-019-SOV-03,433511.61
PRJ-2018-019,PRJ-2018-019-SOV-04,519221.14
PRJ-2018-019,PRJ-2018-019-SOV-05,654113.88
PRJ-2018-019,PRJ-2018-019-SOV-06,288569.42000000004
PRJ-2018-019,PRJ-2018-019-SOV-07,2501503.92
PRJ-2018-019,PRJ-2018-019-SOV-08,1955336.8399999999
PRJ-2018-019,PRJ-2018-019-SOV-09,1206004.35
PRJ-2018-019,PRJ-2018-019-SOV-10,793249.89
PRJ-2018-019,PRJ-2018-019-SOV-11,253678.77
PRJ-2018-019,PRJ-2018-019-SOV-12,240785.47
PRJ-2018-019,PRJ-2018-019-SOV-19,64042.69
PRJ-2018-019,PRJ-2018-019-SOV-20,41018.49
PRJ-2018-020,PRJ-2018-020-SOV-03,304274.07999999996
PRJ-2018-020,PRJ-2018-020-SOV-04,379789.0
PRJ-2018-020,PRJ-2018-020-SOV-05,328264.78
PRJ-2018-020,PRJ-2018-020-SOV-06,134404.7
PRJ-2018-020,PRJ-2018-020-SOV-07,711815.4
PRJ-2018-020,PRJ-2018-020-SOV-08,803597.58
PRJ-2018-020,PRJ-2018-020-SOV-09,449913.49
PRJ-2018-020,PRJ-2018-020-SOV-10,234793.24
PRJ-2018-020,PRJ-2018-020-SOV-11,118954.34
PRJ-2018-020,PRJ-2018-020-SOV-12,165338.88
PRJ-2018-020,PRJ-2018-020-SOV-17,24350.63
PRJ-2018-020,PRJ-2018-020-SOV-18,17267.34
PRJ-2018-020,PRJ-2018-020-SOV-23,257591.68
PRJ-2018-021,PRJ-2018-021-SOV-03,1658246.5699999998
PRJ-2018-021,PRJ-2018-021-SOV-04,2206822.34
PRJ-2018-021,PRJ-2018-021-SOV-05,1450463.2
PRJ-2018-021,PRJ-2018-021-SOV-06,814267.8
PRJ-2018-021,PRJ-2018-021-SOV-07,7435750.05
PRJ-2018-021,PRJ-2018-021-SOV-08,4063671.78
PRJ-2018-021,PRJ-2018-021-SOV-09,2265105.59
PRJ-2018-021,PRJ-2018-021-SOV-10,1370760.5499999998
PRJ-2018-021,PRJ-2018-021-SOV-11,660762.1699999999
PRJ-2018-021,PRJ-2018-021-SOV-12,823470.09
PRJ-2018-021,PRJ-2018-021-SOV-18,59506.05
PRJ-2018-022,PRJ-2018-022-SOV-03,1358545.98
PRJ-2018-022,PRJ-2018-022-SOV-04,1164713.95
PRJ-2018-022,PRJ-2018-022-SOV-05,1141685.33
PRJ-2018-022,PRJ-2018-022-SOV-06,696917.08
PRJ-2018-022,PRJ-2018-022-SOV-07,4418365.43
PRJ-2018-022,PRJ-2018-022-SOV-08,2227091.1100000003
PRJ-2018-022,PRJ-2018-022-SOV-09,2342789.29
PRJ-2018-022,PRJ-2018-022-SOV-10,502180.62
PRJ-2018-022,PRJ-2018-022-SOV-11,384609.52
PRJ-2018-022,PRJ-2018-022-SOV-12,347142.52999999997
PRJ-2018-023,PRJ-2018-023-SOV-03,251955.02000000002
PRJ-2018-023,PRJ-2018-023-SOV-04,327536.74
PRJ-2018-023,PRJ-2018-023-SOV-05,227410.83
PRJ-2018-023,PRJ-2018-023-SOV-06,218020.11
PRJ-2018-023,PRJ-2018-023-SOV-07,813350.36
PRJ-2018-023,PRJ-2018-023-SOV-08,934763.59
PRJ-2018-023,PRJ-2018-023-SOV-09,570014.4099999999
PRJ-2018-023,PRJ-2018-023-SOV-10,215693.46000000002
PRJ-2018-023,PRJ-2018-023-SOV-11,116795.15
PRJ-2018-023,PRJ-2018-023-SOV-12,104472.34
PRJ-2018-023,PRJ-2018-023-SOV-17,93180.9
PRJ-2018-023,PRJ-2018-023-SOV-19,295101.79
PRJ-2018-023,PRJ-2018-023-SOV-20,38457.97
PRJ-2018-023,PRJ-2018-023-SOV-25,44886.8
PRJ-2018-024,PRJ-2018-024-SOV-03,613995.89
PRJ-2018-024,PRJ-2018-024-SOV-04,858958.71
PRJ-2018-024,PRJ-2018-024-SOV-05,626168.54
PRJ-2018-024,PRJ-2018-024-SOV-06,262176.62
PRJ-2018-024,PRJ-2018-024-SOV-07,2699715.19
PRJ-2018-024,PRJ-2018-024-SOV-08,1261918.93
PRJ-2018-024,PRJ-2018-024-SOV-09,1285410.79
PRJ-2018-024,PRJ-2018-024-SOV-10,560670.35
PRJ-2018-024,PRJ-2018-024-SOV-11,199014.98
PRJ-2018-024,PRJ-2018-024-SOV-12,341894.47
PRJ-2018-025,PRJ-2018-025-SOV-03,537675.27
PRJ-2018-025,PRJ-2018-025-SOV-04,985845.4
PRJ-2018-025,PRJ-2018-025-SOV-05,736600.81
PRJ-2018-025,PRJ-2018-025-SOV-06,243632.86
PRJ-2018-025,PRJ-2018-025-SOV-07,2188898.39
PRJ-2018-025,PRJ-2018-025-SOV-08,1162133.59
PRJ-2018-025,PRJ-2018-025-SOV-09,1206395.6
PRJ-2018-025,PRJ-2018-025-SOV-10,735177.08
PRJ-2018-025,PRJ-2018-025-SOV-11,268527.54
PRJ-2018-025,PRJ-2018-025-SOV-12,289784.32
PRJ-2018-025,PRJ-2018-025-SOV-18,276741.03
PRJ-2018-025,PRJ-2018-025-SOV-21,24383.25
PRJ-2018-026,PRJ-2018-026-SOV-03,265972.72
PRJ-2018-026,PRJ-2018-026-SOV-04,205678.29
PRJ-2018-026,PRJ-2018-026-SOV-05,240938.37
PRJ-2018-026,PRJ-2018-026-SOV-06,86583.01000000001
PRJ-2018-026,PRJ-2018-026-SOV-07,473976.31
PRJ-2018-026,PRJ-2018-026-SOV-08,434414.18
PRJ-2018-026,PRJ-2018-026-SOV-09,396767.62
PRJ-2018-026,PRJ-2018-026-SOV-10,135813.91
PRJ-2018-026,PRJ-2018-026-SOV-11,101430.16
PRJ-2018-026,PRJ-2018-026-SOV-12,97759.12000000001
PRJ-2018-027,PRJ-2018-027-SOV-03,726706.46
PRJ-2018-027,PRJ-2018-027-SOV-04,430806.88
PRJ-2018-027,PRJ-2018-027-SOV-05,354768.37
PRJ-2018-027,PRJ-2018-027-SOV-06,216467.09999999998
PRJ-2018-027,PRJ-2018-027-SOV-07,1797400.3599999999
PRJ-2018-027,PRJ-2018-027-SOV-08,986438.63
PRJ-2018-027,PRJ-2018-027-SOV-09,846983.5900000001
PRJ-2018-027,PRJ-2018-027-SOV-10,367262.23
PRJ-2018-027,PRJ-2018-027-SOV-11,262206.4
PRJ-2018-027,PRJ-2018-027-SOV-12,175544.26
PRJ-2018-027,PRJ-2018-027-SOV-23,25702.35
PRJ-2018-027,PRJ-2018-027-SOV-25,147251.73
PRJ-2018-028,PRJ-2018-028-SOV-03,311146.97
PRJ-2018-028,PRJ-2018-028-SOV-04,537015.33
PRJ-2018-028,PRJ-2018-028-SOV-05,260667.64
PRJ-2018-028,PRJ-2018-028-SOV-06,163625.23
PRJ-2018-028,PRJ-2018-028-SOV-07,942015.75
PRJ-2018-028,PRJ-2018-028-SOV-08,937870.43
PRJ-2018-028,PRJ-2018-028-SOV-09,502076.02999999997
PRJ-2018-028,PRJ-2018-028-SOV-10,347627.07
PRJ-2018-028,PRJ-2018-028-SOV-11,200407.13
PRJ-2018-028,PRJ-2018-028-SOV-12,124169.0
PRJ-2018-028,PRJ-2018-028-SOV-20,18061.89
PRJ-2018-029,PRJ-2018-029-SOV-03,264243.0
PRJ-2018-029,PRJ-2018-029-SOV-04,420706.3
PRJ-2018-029,PRJ-2018-029-SOV-05,249894.22999999998
PRJ-2018-029,PRJ-2018-029-SOV-06,135914.05
PRJ-2018-029,PRJ-2018-029-SOV-07,1190707.67
PRJ-2018-029,PRJ-2018-029-SOV-08,972094.96
PRJ-2018-029,PRJ-2018-029-SOV-09,569957.62
PRJ-2018-029,PRJ-2018-029-SOV-10,199688.66
PRJ-2018-029,PRJ-2018-029-SOV-11,144146.06
PRJ-2018-029,PRJ-2018-029-SOV-12,226563.99000000002
PRJ-2018-029,PRJ-2018-029-SOV-21,61440.93
PRJ-2018-030,PRJ-2018-030-SOV-03,483918.48
PRJ-2018-030,PRJ-2018-030-SOV-04,643133.22
PRJ-2018-030,PRJ-2018-030-SOV-05,546174.09
PRJ-2018-030,PRJ-2018-030-SOV-06,209108.71
PRJ-2018-030,PRJ-2018-030-SOV-07,1995292.96
PRJ-2018-030,PRJ-2018-030-SOV-08,1082523.89
PRJ-2018-030,PRJ-2018-030-SOV-09,692101.98
PRJ-2018-030,PRJ-2018-030-SOV-10,437470.16000000003
PRJ-2018-030,PRJ-2018-030-SOV-11,283633.81
PRJ-2018-030,PRJ-2018-030-SOV-12,175667.13999999998
PRJ-2018-030,PRJ-2018-030-SOV-19,398658.3
PRJ-2018-030,PRJ-2018-030-SOV-22,49489.01
PRJ-2018-031,PRJ-2018-031-SOV-03,1072314.07
PRJ-2018-031,PRJ-2018-031-SOV-04,1972163.88
PRJ-2018-031,PRJ-2018-031-SOV-05,1213663.44
PRJ-2018-031,PRJ-2018-031-SOV-06,556949.75
PRJ-2018-031,PRJ-2018-031-SOV-07,4829934.3100000005
PRJ-2018-031,PRJ-2018-031-SOV-08,2599732.62
PRJ-2018-031,PRJ-2018-031-SOV-09,2200244.38
PRJ-2018-031,PRJ-2018-031-SOV-10,1056006.8
PRJ-2018-031,PRJ-2018-031-SOV-11,482623.99
PRJ-2018-031,PRJ-2018-031-SOV-12,956031.55
PRJ-2018-031,PRJ-2018-031-SOV-16,3381078.24
PRJ-2018-031,PRJ-2018-031-SOV-17,60023.0
PRJ-2018-032,PRJ-2018-032-SOV-03,854328.39
PRJ-2018-032,PRJ-2018-032-SOV-04,1051627.91
PRJ-2018-032,PRJ-2018-032-SOV-05,802570.6000000001
PRJ-2018-032,PRJ-2018-032-SOV-06,422463.27999999997
PRJ-2018-032,PRJ-2018-032-SOV-07,2545455.26
PRJ-2018-032,PRJ-2018-032-SOV-08,1740540.18
PRJ-2018-032,PRJ-2018-032-SOV-09,1633043.1199999999
PRJ-2018-032,PRJ-2018-032-SOV-10,416394.25
PRJ-2018-032,PRJ-2018-032-SOV-11,307774.68
PRJ-2018-032,PRJ-2018-032-SOV-12,357323.8
PRJ-2018-032,PRJ-2018-032-SOV-21,94773.79
PRJ-2018-033,PRJ-2018-033-SOV-03,336899.67
PRJ-2018-033,PRJ-2018-033-SOV-04,420090.49
PRJ-2018-033,PRJ-2018-033-SOV-05,339140.47
PRJ-2018-033,PRJ-2018-033-SOV-06,171961.45
PRJ-2018-033,PRJ-2018-033-SOV-07,1217145.36
PRJ-2018-033,PRJ-2018-033-SOV-08,1075322.3199999998
PRJ-2018-033,PRJ-2018-033-SOV-09,544433.04
PRJ-2018-033,PRJ-2018-033-SOV-10,259973.13
PRJ-2018-033,PRJ-2018-033-SOV-11,171585.16999999998
PRJ-2018-033,PRJ-2018-033-SOV-12,200189.47
PRJ-2018-033,PRJ-2018-033-SOV-18,56601.98
PRJ-2018-034,PRJ-2018-034-SOV-03,647177.27
PRJ-2018-034,PRJ-2018-034-SOV-04,847207.89
PRJ-2018-034,PRJ-2018-034-SOV-05,625864.85
PRJ-2018-034,PRJ-2018-034-SOV-06,417764.42000000004
PRJ-2018-034,PRJ-2018-034-SOV-07,1587544.51
PRJ-2018-034,PRJ-2018-034-SOV-08,1750523.6300000001
PRJ-2018-034,PRJ-2018-034-SOV-09,890229.8999999999
PRJ-2018-034,PRJ-2018-034-SOV-10,361128.21
PRJ-2018-034,PRJ-2018-034-SOV-11,250451.4
PRJ-2018-034,PRJ-2018-034-SOV-12,266212.18
PRJ-2018-034,PRJ-2018-034-SOV-19,615318.36
PRJ-2018-035,PRJ-2018-035-SOV-03,423335.31
PRJ-2018-035,PRJ-2018-035-SOV-04,464627.48
PRJ-2018-035,PRJ-2018-035-SOV-05,523198.46
PRJ-2018-035,PRJ-2018-035-SOV-06,218569.16999999998
PRJ-2018-035,PRJ-2018-035-SOV-07,1430242.43
PRJ-2018-035,PRJ-2018-035-SOV-08,797377.77
PRJ-2018-035,PRJ-2018-035-SOV-09,625350.39
PRJ-2018-035,PRJ-2018-035-SOV-10,254766.4
PRJ-2018-035,PRJ-2018-035-SOV-11,205810.28
PRJ-2018-035,PRJ-2018-035-SOV-12,213658.39
PRJ-2018-035,PRJ-2018-035-SOV-19,31424.62
PRJ-2018-036,PRJ-2018-036-SOV-03,1243809.02
PRJ-2018-036,PRJ-2018-036-SOV-04,1390483.72
PRJ-2018-036,PRJ-2018-036-SOV-05,945679.0499999999
PRJ-2018-036,PRJ-2018-036-SOV-06,528256.04
PRJ-2018-036,PRJ-2018-036-SOV-07,3050312.16
PRJ-2018-036,PRJ-2018-036-SOV-08,2329728.27
PRJ-2018-036,PRJ-2018-036-SOV-09,1367691.22
PRJ-2018-036,PRJ-2018-036-SOV-10,1079724.12
PRJ-2018-036,PRJ-2018-036-SOV-11,235865.08000000002
PRJ-2018-036,PRJ-2018-036-SOV-12,483199.38
PRJ-2018-036,PRJ-2018-036-SOV-23,140261.29
PRJ-2018-037,PRJ-2018-037-SOV-03,1267169.78
PRJ-2018-037,PRJ-2018-037-SOV-04,1475701.49
PRJ-2018-037,PRJ-2018-037-SOV-05,699813.4500000001
PRJ-2018-037,PRJ-2018-037-SOV-06,717879.43
PRJ-2018-037,PRJ-2018-037-SOV-07,3539871.49
PRJ-2018-037,PRJ-2018-037-SOV-08,3504078.81
PRJ-2018-037,PRJ-2018-037-SOV-09,1681220.92
PRJ-2018-037,PRJ-2018-037-SOV-10,877863.72
PRJ-2018-037,PRJ-2018-037-SOV-11,343518.9
PRJ-2018-037,PRJ-2018-037-SOV-12,564559.74
PRJ-2018-037,PRJ-2018-037-SOV-17,67795.91
PRJ-2018-037,PRJ-2018-037-SOV-21,602555.2
PRJ-2018-037,PRJ-2018-037-SOV-22,48311.46
PRJ-2018-037,PRJ-2018-037-SOV-24,268758.89
PRJ-2018-038,PRJ-2018-038-SOV-03,274179.1
PRJ-2018-038,PRJ-2018-038-SOV-04,433859.48
PRJ-2018-038,PRJ-2018-038-SOV-05,349385.05
PRJ-2018-038,PRJ-2018-038-SOV-06,188652.88
PRJ-2018-038,PRJ-2018-038-SOV-07,952784.55
PRJ-2018-038,PRJ-2018-038-SOV-08,923816.87
PRJ-2018-038,PRJ-2018-038-SOV-09,565136.5
PRJ-2018-038,PRJ-2018-038-SOV-10,335991.25
PRJ-2018-038,PRJ-2018-038-SOV-11,170392.3
PRJ-2018-038,PRJ-2018-038-SOV-12,140138.03
PRJ-2018-038,PRJ-2018-038-SOV-16,16871.83
PRJ-2018-038,PRJ-2018-038-SOV-20,321.34
PRJ-2018-039,PRJ-2018-039-SOV-03,225873.61
PRJ-2018-039,PRJ-2018-039-SOV-04,155678.8
PRJ-2018-039,PRJ-2018-039-SOV-05,154623.81
PRJ-2018-039,PRJ-2018-039-SOV-06,61645.979999999996
PRJ-2018-039,PRJ-2018-039-SOV-07,619930.12
PRJ-2018-039,PRJ-2018-039-SOV-08,418691.7
PRJ-2018-039,PRJ-2018-039-SOV-09,361594.18
PRJ-2018-039,PRJ-2018-039-SOV-10,137177.27
