project_id,project_name,original_contract_value,contract_date,substantial_completion_date,retention_pct,payment_terms,gc_name,architect,engineer_of_record,total_estimated_budget,budget_coverage
PRJ-2018-051,San Antonio Regional Medical Center - HVAC Upgrade,6433000,2018-03-31,2019-08-28,0.1,Net 30,JE Dunn,HOK,WSP,6296798.754,0.979
PRJ-2018-052,Richmond Mixed-Use Tower - Mechanical,3101000,2018-03-03,2019-05-19,0.1,Net 30,Skanska USA,SmithGroup,AEI,3304540.703,1.066
PRJ-2018-053,Las Vegas High School - New Construction,3488000,2018-03-22,2019-06-08,0.1,Net 30,Mortenson,Perkins&Will,WSP,3690504.403,1.058
PRJ-2018-054,Denver Edge Data Center - Thermal Management,19488000,2018-03-04,2020-05-24,0.1,Net 30,DPR Construction,HOK,Syska Hennessy,18948270.408,0.972
PRJ-2018-055,Oklahoma City Mixed-Income Housing - Climate Control,5485000,2018-02-09,2020-01-14,0.1,Net 30,JE Dunn,Perkins&Will,AEI,5512600.859,1.005
PRJ-2018-056,Boston Medical Campus - New HVAC Installation,36355000,2018-03-30,2019-07-02,0.1,Net 30,Skanska USA,SmithGroup,Syska Hennessy,35482504.359,0.976
PRJ-2018-057,Sacramento Office Park - Core & Shell MEP,14417000,2018-02-14,2019-09-18,0.1,Net 30,Mortenson,SmithGroup,AEI,15121277.553,1.049
PRJ-2018-058,Boston Middle School - HVAC Systems,5584000,2018-01-19,2018-07-06,0.1,Net 30,DPR Construction,Gensler,AEI,6166104.773,1.104
PRJ-2018-059,Atlanta Data Center - Precision Cooling Systems,13417000,2018-02-08,2019-09-12,0.1,Net 30,DPR Construction,SmithGroup,AEI,13663006.983000001,1.018
PRJ-2018-060,Boston Apartment Complex - MEP,12239000,2018-01-18,2018-11-01,0.1,Net 30,Skanska USA,HOK,WSP,12908921.578,1.055
PRJ-2018-061,Las Vegas Hospital - Mechanical Systems Renovation,36618000,2018-02-02,2019-08-04,0.1,Net 30,Mortenson,HOK,Syska Hennessy,39972591.863,1.092
PRJ-2018-062,Chicago Business Center - MEP Systems,18069000,2018-01-14,2019-12-10,0.1,Net 30,Turner Construction,Gensler,AEI,19006629.662,1.052
PRJ-2018-063,Cincinnati High School - New Construction,5612000,2018-03-17,2019-02-18,0.1,Net 30,Mortenson,HOK,ARUP,6249978.587,1.114
PRJ-2018-064,Minneapolis Cloud Campus Phase 1 - Cooling,12004000,2018-01-21,2019-07-19,0.1,Net 30,DPR Construction,HKS,Henderson Engineers,12742210.588,1.061
PRJ-2018-065,Richmond Residential Tower - HVAC Systems,10603000,2018-01-29,2019-07-09,0.1,Net 30,Skanska USA,SmithGroup,AEI,11201507.681,1.056
PRJ-2018-066,Portland Regional Medical Center - HVAC Upgrade,19638000,2018-03-01,2019-08-28,0.1,Net 30,Skanska USA,SmithGroup,WSP,21593497.007,1.1
PRJ-2018-067,Nashville Corporate Campus - HVAC Systems,27567000,2018-01-21,2018-08-19,0.1,Net 30,Skanska USA,SmithGroup,Henderson Engineers,29376675.474,1.066
PRJ-2018-068,Tampa Unified School District - HVAC Modernization,8544000,2018-02-21,2019-05-09,0.1,Net 30,JE Dunn,SmithGroup,AEI,9609075.724,1.125
PRJ-2018-069,Boston Colocation Facility - HVAC,15603000,2018-01-30,2019-03-04,0.1,Net 30,Mortenson,SmithGroup,AEI,17214684.193,1.103
PRJ-2018-070,Portland Senior Living - HVAC Upgrade,14309000,2018-03-09,2019-05-17,0.1,Net 30,JE Dunn,Perkins&Will,Syska Hennessy,16265810.199,1.137
PRJ-2018-071,Atlanta Regional Medical Center - HVAC Upgrade,28100000,2018-02-24,2019-03-23,0.1,Net 30,Mortenson,SmithGroup,Henderson Engineers,30970221.981,1.102
PRJ-2018-072,Richmond Corporate Campus - HVAC Systems,17167000,2018-01-11,2018-10-19,0.1,Net 30,DPR Construction,HKS,WSP,18471024.183,1.076
PRJ-2018-073,Minneapolis Middle School - HVAC Systems,5550000,2018-01-12,2018-07-17,0.1,Net 30,Skanska USA,Gensler,WSP,5966149.707,1.075
PRJ-2018-074,Chicago Edge Data Center - Thermal Management,4055000,2018-02-19,2019-01-04,0.1,Net 30,JE Dunn,Gensler,Henderson Engineers,4430470.193,1.093
PRJ-2018-075,Indianapolis Senior Living - HVAC Upgrade,11890000,2018-02-06,2020-04-12,0.1,Net 30,Skanska USA,HOK,WSP,12013770.003,1.01
PRJ-2018-076,Pittsburgh Surgery Center - Climate Control,16224000,2018-02-02,2019-11-17,0.1,Net 30,Turner Construction,Perkins&Will,Syska Hennessy,17694760.802,1.091
PRJ-2018-077,Minneapolis Mixed-Use Tower - Mechanical,4898000,2018-02-22,2019-03-22,0.1,Net 30,Turner Construction,Perkins&Will,ARUP,5015302.106,1.024
PRJ-2018-078,Baltimore High School - New Construction,8156000,2018-01-26,2019-09-01,0.1,Net 30,JE Dunn,SmithGroup,ARUP,8132368.945,0.997
PRJ-2018-079,Baltimore Colocation Facility - HVAC,16064000,2018-03-09,2019-06-22,0.1,Net 30,Turner Construction,Perkins&Will,AEI,17746727.373,1.105
PRJ-2018-080,Raleigh Senior Living - HVAC Upgrade,21159000,2018-02-11,2019-06-16,0.1,Net 30,Turner Construction,Perkins&Will,Henderson Engineers,24276653.939,1.147
PRJ-2019-081,Indianapolis Surgery Center - Climate Control,52999000,2019-02-25,2021-02-24,0.1,Net 30,Turner Construction,Perkins&Will,ARUP,57087033.979,1.077
PRJ-2019-082,Raleigh Business Center - MEP Systems,41115000,2019-03-21,2021-02-02,0.1,Net 30,JE Dunn,HOK,WSP,46469260.808,1.13
PRJ-2019-083,Cincinnati Elementary Campus - Climate Systems,8483000,2019-01-11,2020-08-08,0.1,Net 30,JE Dunn,SmithGroup,Henderson Engineers,9688550.414,1.142
PRJ-2019-084,Sacramento Data Center - Precision Cooling Systems,7196000,2019-02-19,2020-04-20,0.1,Net 30,Turner Construction,HOK,ARUP,7396363.28,1.028
PRJ-2019-085,Louisville Residential Tower - HVAC Systems,6578000,2019-03-26,2020-07-06,0.1,Net 30,JE Dunn,Perkins&Will,WSP,6871174.863,1.045
PRJ-2019-086,Louisville Regional Medical Center - HVAC Upgrade,16463000,2019-03-03,2020-05-23,0.1,Net 30,Turner Construction,Gensler,Syska Hennessy,17984373.643,1.092
PRJ-2019-087,Atlanta Mixed-Use Tower - Mechanical,23848000,2019-03-17,2021-05-18,0.1,Net 30,Skanska USA,Gensler,ARUP,25112259.917999998,1.053
PRJ-2019-088,Oklahoma City Elementary Campus - Climate Systems,9124000,2019-01-14,2020-04-06,0.1,Net 30,JE Dunn,Perkins&Will,ARUP,10294978.422,1.128
PRJ-2019-089,Tampa Cloud Campus Phase 1 - Cooling,12969000,2019-02-06,2020-04-30,0.1,Net 30,Mortenson,Gensler,Syska Hennessy,12226978.224,0.943
PRJ-2019-090,Tampa Senior Living - HVAC Upgrade,3276000,2019-03-14,2020-02-01,0.1,Net 30,DPR Construction,HKS,Henderson Engineers,3329589.019,1.016
PRJ-2019-091,Portland Surgery Center - Climate Control,37972000,2019-03-03,2020-03-07,0.1,Net 30,JE Dunn,HOK,AEI,39306282.697,1.035
PRJ-2019-092,Raleigh Corporate Campus - HVAC Systems,13785000,2019-03-30,2020-03-21,0.1,Net 30,Turner Construction,HOK,WSP,14142585.665,1.026
PRJ-2019-093,Baltimore Middle School - HVAC Systems,10135000,2019-01-31,2020-03-22,0.1,Net 30,JE Dunn,HOK,ARUP,10581213.373,1.044
PRJ-2019-094,Atlanta Data Center - Precision Cooling Systems,21983000,2019-03-24,2020-04-07,0.1,Net 30,DPR Construction,HKS,ARUP,24298828.157,1.105
PRJ-2019-095,Phoenix Senior Living - HVAC Upgrade,11001000,2019-04-01,2021-02-14,0.1,Net 30,DPR Construction,HKS,WSP,11350354.446,1.032
PRJ-2019-096,Portland Regional Medical Center - HVAC Upgrade,9588000,2019-01-10,2020-01-09,0.1,Net 30,JE Dunn,Gensler,Henderson Engineers,9779389.0,1.02
PRJ-2019-097,Cincinnati Mixed-Use Tower - Mechanical,8337000,2019-01-02,2020-03-17,0.1,Net 30,DPR Construction,SmithGroup,Henderson Engineers,8897013.502,1.067
PRJ-2019-098,Baltimore Unified School District - HVAC Modernization,6621000,2019-01-13,2020-08-04,0.1,Net 30,Turner Construction,SmithGroup,Syska Hennessy,7639530.71,1.154
PRJ-2019-099,San Antonio Colocation Facility - HVAC,10701000,2019-02-17,2020-01-03,0.1,Net 30,Mortenson,Perkins&Will,AEI,10993684.992,1.027
PRJ-2019-100,Richmond Mixed-Income Housing - Climate Control,5785000,2019-03-30,2020-01-01,0.1,Net 30,Skanska USA,Gensler,Syska Hennessy,6123364.225,1.058
PRJ-2019-101,Pittsburgh Hospital - Mechanical Systems Renovation,43110000,2019-03-07,2019-11-05,0.1,Net 30,Turner Construction,Gensler,AEI,47035961.515,1.091
PRJ-2019-102,Indianapolis Business Center - MEP Systems,42813000,2019-02-01,2021-01-24,0.1,Net 30,DPR Construction,HOK,AEI,48185607.489,1.125
PRJ-2019-103,Kansas City Middle School - HVAC Systems,5820000,2019-02-20,2020-10-30,0.1,Net 30,Mortenson,SmithGroup,ARUP,6567762.761,1.128
PRJ-2019-104,Atlanta Edge Data Center - Thermal Management,14396000,2019-02-11,2020-01-08,0.1,Net 30,DPR Construction,Perkins&Will,Henderson Engineers,16477959.433,1.145
PRJ-2019-105,Raleigh Mixed-Income Housing - Climate Control,14305000,2019-01-14,2019-09-14,0.1,Net 30,DPR Construction,HKS,WSP,16752046.034,1.171
PRJ-2019-106,Raleigh Regional Medical Center - HVAC Upgrade,50158000,2019-01-15,2020-02-12,0.1,Net 30,Skanska USA,SmithGroup,AEI,51526613.932,1.027
PRJ-2019-107,Boston Office Park - Core & Shell MEP,16925000,2019-03-13,2020-09-29,0.1,Net 30,DPR Construction,SmithGroup,ARUP,18442677.023,1.09
PRJ-2019-108,Richmond Elementary Campus - Climate Systems,10813000,2019-03-30,2020-10-29,0.1,Net 30,JE Dunn,Gensler,ARUP,11129274.225,1.029
PRJ-2019-109,Portland Colocation Facility - HVAC,14103000,2019-03-05,2020-05-30,0.1,Net 30,Turner Construction,Gensler,AEI,15405812.257000001,1.092
PRJ-2019-110,Las Vegas Senior Living - HVAC Upgrade,3872000,2019-02-20,2020-01-26,0.1,Net 30,DPR Construction,SmithGroup,WSP,3957406.785,1.022
PRJ-2019-111,Louisville Surgery Center - Climate Control,10721000,2019-01-03,2020-08-13,0.1,Net 30,Skanska USA,Gensler,ARUP,12087879.367999999,1.127
PRJ-2019-112,Atlanta Mixed-Use Tower - Mechanical,10030000,2019-01-11,2020-02-23,0.1,Net 30,Turner Construction,Gensler,AEI,10597993.937,1.057
PRJ-2019-113,Kansas City Middle School - HVAC Systems,3319000,2019-01-15,2021-04-13,0.1,Net 30,Turner Construction,HKS,AEI,2428325.782,0.732
PRJ-2019-114,Tampa Colocation Facility - HVAC,21934000,2019-02-10,2020-08-02,0.1,Net 30,JE Dunn,Gensler,WSP,21581088.433,0.984
PRJ-2019-115,Phoenix Senior Living - HVAC Upgrade,25864000,2019-03-01,2020-05-10,0.1,Net 30,JE Dunn,SmithGroup,WSP,28144190.653,1.088
PRJ-2019-116,Minneapolis Regional Medical Center - HVAC Upgrade,30690000,2019-01-28,2019-12-25,0.1,Net 30,Turner Construction,HOK,Syska Hennessy,31677964.646,1.032
PRJ-2019-117,Atlanta Mixed-Use Tower - Mechanical,23416000,2019-02-10,2019-12-15,0.1,Net 30,Turner Construction,HOK,Syska Hennessy,26282375.559,1.122
PRJ-2019-118,Portland Unified School District - HVAC Modernization,4569000,2019-03-12,2020-03-17,0.1,Net 30,JE Dunn,HOK,WSP,5163315.583,1.13
PRJ-2019-119,Albuquerque Data Center - Precision Cooling Systems,19776000,2019-02-04,2020-07-04,0.1,Net 30,JE Dunn,SmithGroup,ARUP,21048056.449,1.064
PRJ-2019-120,Albuquerque Senior Living - HVAC Upgrade,7611000,2019-03-31,2020-12-16,0.1,Net 30,DPR Construction,HOK,AEI,8383894.907,1.102
PRJ-2019-121,Columbus Surgery Center - Climate Control,47765000,2019-03-03,2021-05-26,0.1,Net 30,DPR Construction,HKS,Henderson Engineers,49249423.992,1.031
PRJ-2019-122,Denver Office Park - Core & Shell MEP,3259000,2019-02-26,2020-03-18,0.1,Net 30,Mortenson,Perkins&Will,Henderson Engineers,3662317.141,1.124
PRJ-2019-123,Oklahoma City High School - New Construction,9763000,2019-02-02,2020-05-11,0.1,Net 30,JE Dunn,HOK,AEI,10029165.815,1.027
PRJ-2019-124,Sacramento Colocation Facility - HVAC,6722000,2019-02-03,2019-12-31,0.1,Net 30,DPR Construction,SmithGroup,Henderson Engineers,7729546.885,1.15
PRJ-2019-125,Boston Mixed-Income Housing - Climate Control,14385000,2019-01-11,2021-01-01,0.1,Net 30,DPR Construction,HKS,Henderson Engineers,15734408.256000001,1.094
PRJ-2019-126,Cincinnati Surgery Center - Climate Control,42999000,2019-02-20,2020-09-29,0.1,Net 30,DPR Construction,Perkins&Will,AEI,42790023.22,0.995
PRJ-2019-127,Phoenix Mixed-Use Tower - Mechanical,12380000,2019-02-25,2020-01-07,0.1,Net 30,JE Dunn,Perkins&Will,WSP,13405722.618,1.083
PRJ-2019-128,Kansas City High School - New Construction,3238000,2019-01-26,2020-09-19,0.1,Net 30,JE Dunn,HKS,WSP,3524081.45,1.088
PRJ-2019-129,Boston Colocation Facility - HVAC,14922000,2019-01-06,2020-05-26,0.1,Net 30,Mortenson,HKS,AEI,16083610.286,1.078
PRJ-2019-130,Columbus Senior Living - HVAC Upgrade,7207000,2019-03-28,2020-03-09,0.1,Net 30,Turner Construction,HOK,AEI,7432384.485,1.031
PRJ-2019-131,Cincinnati Hospital - Mechanical Systems Renovation,44330000,2019-01-31,2020-10-06,0.1,Net 30,JE Dunn,HKS,Henderson Engineers,44991584.529,1.015
PRJ-2019-132,San Antonio Corporate Campus - HVAC Systems,4919000,2019-02-15,2020-09-20,0.1,Net 30,Turner Construction,Gensler,Syska Hennessy,5261841.158,1.07
PRJ-2019-133,Oklahoma City Elementary Campus - Climate Systems,8572000,2019-03-30,2020-02-15,0.1,Net 30,Turner Construction,Perkins&Will,WSP,9805215.197,1.144
PRJ-2019-134,Minneapolis Cloud Campus Phase 1 - Cooling,5471000,2019-02-13,2020-02-03,0.1,Net 30,JE Dunn,HOK,AEI,6122438.1389999995,1.119
PRJ-2019-135,Minneapolis Mixed-Income Housing - Climate Control,17311000,2019-01-14,2020-04-24,0.1,Net 30,JE Dunn,HKS,Henderson Engineers,19202277.132,1.109
PRJ-2019-136,Salt Lake City Medical Campus - New HVAC Installation,8264000,2019-01-10,2019-12-24,0.1,Net 30,Skanska USA,Gensler,WSP,9488761.832,1.148
PRJ-2019-137,Kansas City Office Park - Core & Shell MEP,28675000,2019-03-08,2020-07-03,0.1,Net 30,JE Dunn,Gensler,Henderson Engineers,33540736.695,1.17
PRJ-2019-138,Albuquerque Elementary Campus - Climate Systems,12417000,2019-01-31,2021-03-01,0.1,Net 30,Turner Construction,HKS,Henderson Engineers,13971824.415000001,1.125
PRJ-2019-139,Sacramento Colocation Facility - HVAC,7332000,2019-03-19,2020-02-16,0.1,Net 30,Turner Construction,Gensler,Syska Hennessy,7528056.794,1.027
PRJ-2019-140,Boston Senior Living - HVAC Upgrade,11399000,2019-01-30,2020-10-22,0.1,Net 30,DPR Construction,Gensler,Henderson Engineers,12843146.879,1.127
PRJ-2019-141,Richmond Medical Campus - New HVAC Installation,37483000,2019-02-28,2020-09-10,0.1,Net 30,Turner Construction,HOK,ARUP,38376963.794,1.024
PRJ-2019-142,Louisville Business Center - MEP Systems,27982000,2019-03-09,2020-02-01,0.1,Net 30,JE Dunn,HOK,Henderson Engineers,29035868.791,1.038
PRJ-2019-143,Indianapolis Middle School - HVAC Systems,3114000,2019-02-15,2020-06-26,0.1,Net 30,JE Dunn,SmithGroup,ARUP,3627398.366,1.165
PRJ-2019-144,Richmond Data Center - Precision Cooling Systems,8799000,2019-02-25,2020-05-04,0.1,Net 30,DPR Construction,Perkins&Will,ARUP,8823552.013,1.003
PRJ-2019-145,Oklahoma City Mixed-Income Housing - Climate Control,4355000,2019-01-01,2020-03-15,0.1,Net 30,Skanska USA,SmithGroup,Syska Hennessy,4252167.122,0.976
PRJ-2019-146,Denver Hospital - Mechanical Systems Renovation,7959000,2019-02-10,2020-01-17,0.1,Net 30,JE Dunn,HKS,Syska Hennessy,8426891.357,1.059
PRJ-2019-147,Oklahoma City Office Park - Core & Shell MEP,18067000,2019-03-20,2020-06-10,0.1,Net 30,Skanska USA,HOK,WSP,21250373.22,1.176
PRJ-2019-148,Las Vegas Middle School - HVAC Systems,7547000,2019-01-14,2020-05-27,0.1,Net 30,JE Dunn,HOK,Syska Hennessy,7980675.989,1.057
PRJ-2019-149,Boston Data Center - Precision Cooling Systems,21493000,2019-02-16,2020-09-11,0.1,Net 30,JE Dunn,HKS,ARUP,23514071.594,1.094
PRJ-2019-150,Oklahoma City Mixed-Income Housing - Climate Control,26488000,2019-01-04,2020-10-06,0.1,Net 30,JE Dunn,Gensler,WSP,26737419.135,1.009
PRJ-2019-151,Albuquerque Surgery Center - Climate Control,29676000,2019-01-23,2020-10-16,0.1,Net 30,JE Dunn,HKS,Henderson Engineers,32288034.22,1.088
PRJ-2019-152,Phoenix Mixed-Use Tower - Mechanical,2246000,2019-03-29,2020-07-18,0.1,Net 30,Mortenson,HKS,Syska Hennessy,1834528.8190000001,0.817
PRJ-2019-153,Indianapolis Middle School - HVAC Systems,4947000,2019-02-10,2020-10-09,0.1,Net 30,DPR Construction,SmithGroup,AEI,5632512.668,1.139
PRJ-2019-154,Las Vegas Colocation Facility - HVAC,6455000,2019-01-09,2021-01-20,0.1,Net 30,DPR Construction,Perkins&Will,ARUP,7225976.401,1.119
PRJ-2019-155,Cincinnati Mixed-Income Housing - Climate Control,7959000,2019-03-05,2020-11-03,0.1,Net 30,Skanska USA,HOK,Henderson Engineers,9170587.479,1.152
PRJ-2019-156,Richmond Regional Medical Center - HVAC Upgrade,36862000,2019-01-14,2020-03-13,0.1,Net 30,Mortenson,HKS,Henderson Engineers,41857256.426,1.136
PRJ-2019-157,Portland Office Park - Core & Shell MEP,6804000,2019-01-17,2020-04-11,0.1,Net 30,Mortenson,HKS,ARUP,6914399.871,1.016
PRJ-2019-158,Denver High School - New Construction,5838000,2019-03-23,2020-05-11,0.1,Net 30,DPR Construction,Gensler,Henderson Engineers,5747658.928,0.985
PRJ-2019-159,Albuquerque Data Center - Precision Cooling Systems,18511000,2019-01-31,2020-07-01,0.1,Net 30,JE Dunn,HKS,Syska Hennessy,18736113.855,1.012
PRJ-2019-160,Cincinnati Apartment Complex - MEP,6817000,2019-02-26,2020-07-21,0.1,Net 30,JE Dunn,HKS,Syska Hennessy,6702604.661,0.983
PRJ-2020-161,Phoenix Regional Medical Center - HVAC Upgrade,58874000,2020-02-02,2021-11-22,0.1,Net 30,JE Dunn,HKS,ARUP,62707278.897,1.065
