project_id,application_number,period_end,period_total,cumulative_billed,retention_held,net_payment_due,status,payment_date,line_item_count
PRJ-2024-002,6,2024-07-27,1421300,10047500,1004750.0,9042750.0,Paid,2024-08-29,15
PRJ-2024-002,7,2024-08-26,1332100,11379600,1137960.0,10241640.0,Pending,2024-10-04,15
PRJ-2024-002,8,2024-09-25,1346700,12726300,1272630.0,11453670.0,Paid,,15
PRJ-2024-002,9,2024-10-25,1371600,14097900,1409790.0,12688110.0,Paid,2024-11-21,15
PRJ-2024-002,10,2024-11-24,1350800,15448700,1544870.0,13903830.0,Paid,2025-01-03,15
PRJ-2024-002,11,2024-12-24,1380800,16829500,1682950.0,15146550.0,Pending,2025-01-25,15
PRJ-2024-002,12,2025-01-23,1347600,18177100,1817710.0,16359390.0,Paid,2025-02-28,15
PRJ-2024-002,13,2025-02-22,1353500,19530600,1953060.0,17577540.0,Pending,2025-03-26,15
PRJ-2024-002,14,2025-03-24,1317400,20848000,2084800.0,18763200.0,Paid,2025-04-30,15
PRJ-2024-002,15,2025-04-23,1400800,22248800,2224880.0,20023920.0,Paid,2025-06-01,15
PRJ-2024-002,16,2025-05-23,1333900,23582700,2358270.0,21224430.0,Approved,2025-06-22,15
PRJ-2024-002,17,2025-06-22,1201600,24784300,2478430.0,22305870.0,Paid,2025-07-27,15
PRJ-2024-002,18,2025-07-22,1190500,25974800,2597480.0,23377320.0,Paid,2025-08-17,15
PRJ-2024-002,19,2025-08-21,1192700,27167500,2716750.0,24450750.0,Pending,2025-09-23,13
PRJ-2024-002,20,2025-09-20,1196200,28363700,2836370.0,25527330.0,Approved,2025-10-28,13
PRJ-2024-002,21,2025-10-20,1191200,29554900,2955490.0,26599410.0,Paid,2025-11-21,13
PRJ-2024-002,24,2026-01-18,143200,29698100,2969810.0,26728290.0,Pending,2026-02-14,13
PRJ-2024-002,25,2026-02-17,377300,30075400,3007540.0,27067860.0,Pending,2026-03-14,13
PRJ-2024-003,2,2024-04-14,591200,591200,59120.0,532080.0,Paid,2024-05-18,9
PRJ-2024-003,3,2024-05-14,744800,1336000,133600.0,1202400.0,Paid,2024-06-12,12
PRJ-2024-003,4,2024-06-13,485600,1821600,182160.0,1639440.0,Pending,2024-07-10,15
PRJ-2024-003,5,2024-07-13,441100,2262700,226270.0,2036430.0,Paid,2024-08-08,15
PRJ-2024-003,6,2024-08-12,425400,2688100,268810.0,2419290.0,Approved,2024-09-13,15
PRJ-2024-003,7,2024-09-11,428500,3116600,311660.0,2804940.0,Paid,2024-10-08,15
PRJ-2024-003,8,2024-10-11,420400,3537000,353700.0,3183300.0,Approved,2024-11-08,15
PRJ-2024-003,9,2024-11-10,418700,3955700,395570.0,3560130.0,Paid,2024-12-17,15
PRJ-2024-003,10,2024-12-10,414400,4370100,437010.0,3933090.0,Pending,2025-01-13,15
PRJ-2024-003,11,2025-01-09,392100,4762200,476220.0,4285980.0,Paid,2025-02-08,15
PRJ-2024-003,12,2025-02-08,384000,5146200,514620.0,4631580.0,Paid,2025-03-15,15
PRJ-2024-003,13,2025-03-10,103700,5249900,524990.0,4724910.0,Paid,2025-04-07,13
PRJ-2024-003,14,2025-04-09,130200,5380100,538010.0,4842090.0,Pending,,13
PRJ-2024-003,15,2025-05-09,120600,5500700,550070.0,4950630.0,Pending,,13
PRJ-2024-004,2,2024-04-13,2513900,2513900,251390.0,2262510.0,Paid,2024-05-11,12
PRJ-2024-004,3,2024-05-13,2551700,5065600,506560.0,4559040.0,Pending,2024-06-15,15
PRJ-2024-004,4,2024-06-12,1755800,6821400,682140.0,6139260.0,Pending,2024-07-19,15
PRJ-2024-004,5,2024-07-12,1733000,8554400,855440.0,7698960.0,Pending,2024-08-14,15
PRJ-2024-004,6,2024-08-11,1816500,10370900,1037090.0,9333810.0,Paid,2024-09-20,15
PRJ-2024-004,7,2024-09-10,1795900,12166800,1216680.0,10950120.0,Paid,2024-10-05,15
PRJ-2024-004,8,2024-10-10,1621700,13788500,1378850.0,12409650.0,Paid,,15
PRJ-2024-004,9,2024-11-09,1541000,15329500,1532950.0,13796550.0,Pending,2024-12-19,15
PRJ-2024-004,10,2024-12-09,373900,15703400,1570340.0,14133060.0,Pending,,15
PRJ-2024-004,11,2025-01-08,502400,16205800,1620580.0,14585220.0,Pending,,13
PRJ-2024-005,2,2024-05-21,1001300,1001300,100130.0,901170.0,Paid,,9
PRJ-2024-005,3,2024-06-20,1205500,2206800,220680.0,1986120.0,Pending,2024-07-17,12
PRJ-2024-005,4,2024-07-20,1325100,3531900,353190.0,3178710.0,Approved,2024-08-21,12
PRJ-2024-005,5,2024-08-19,813700,4345600,434560.0,3911040.0,Paid,,15
PRJ-2024-005,6,2024-09-18,725800,5071400,507140.0,4564260.0,Approved,2024-10-20,15
PRJ-2024-005,7,2024-10-18,736100,5807500,580750.0,5226750.0,Pending,2024-11-21,15
PRJ-2024-005,8,2024-11-17,743500,6551000,655100.0,5895900.0,Paid,2024-12-22,15
PRJ-2024-005,9,2024-12-17,735000,7286000,728600.0,6557400.0,Pending,2025-01-21,15
PRJ-2024-005,10,2025-01-16,746000,8032000,803200.0,7228800.0,Pending,,15
PRJ-2024-005,11,2025-02-15,735300,8767300,876730.0,7890570.0,Approved,2025-03-21,15
PRJ-2024-005,12,2025-03-17,751400,9518700,951870.0,8566830.0,Paid,2025-04-25,15
PRJ-2024-005,13,2025-04-16,718700,10237400,1023740.0,9213660.0,Approved,2025-05-12,15
PRJ-2024-005,14,2025-05-16,687400,10924800,1092480.0,9832320.0,Approved,2025-06-16,15
PRJ-2024-005,15,2025-06-15,665800,11590600,1159060.0,10431540.0,Paid,2025-07-11,15
PRJ-2024-005,16,2025-07-15,633600,12224200,1222420.0,11001780.0,Paid,2025-08-24,14
PRJ-2024-005,17,2025-08-14,655500,12879700,1287970.0,11591730.0,Pending,,14
PRJ-2024-005,18,2025-09-13,48500,12928200,1292820.0,11635380.0,Paid,2025-10-17,13
PRJ-2024-005,19,2025-10-13,196900,13125100,1312510.0,11812590.0,Pending,2025-11-16,13
PRJ-2024-005,20,2025-11-12,213900,13339000,1333900.0,12005100.0,Pending,2025-12-07,13
PRJ-2024-005,21,2025-12-12,217100,13556100,1355610.0,12200490.0,Pending,2026-01-06,13
PRJ-2018-001,2,2018-03-02,4296600,4296600,429660.0,3866940.0,Pending,2018-04-09,12
PRJ-2018-001,3,2018-04-01,5465500,9762100,976210.0,8785890.0,Paid,,15
PRJ-2018-001,4,2018-05-01,3382000,13144100,1314410.0,11829690.0,Paid,2018-06-10,15
PRJ-2018-001,5,2018-05-31,3311700,16455800,1645580.0,14810220.0,Approved,,15
PRJ-2018-001,6,2018-06-30,3137900,19593700,1959370.0,17634330.0,Paid,2018-08-01,15
PRJ-2018-001,7,2018-07-30,3191200,22784900,2278490.0,20506410.0,Approved,2018-08-29,15
PRJ-2018-001,8,2018-08-29,3183500,25968400,2596840.0,23371560.0,Pending,2018-09-23,15
PRJ-2018-001,9,2018-09-28,3108900,29077300,2907730.0,26169570.0,Paid,2018-10-27,15
PRJ-2018-001,10,2018-10-28,2944100,32021400,3202140.0,28819260.0,Paid,2018-11-23,15
PRJ-2018-001,11,2018-11-27,2801800,34823200,3482320.0,31340880.0,Paid,2018-12-28,15
PRJ-2018-001,12,2018-12-27,2833400,37656600,3765660.0,33890940.0,Paid,2019-01-24,15
PRJ-2018-001,14,2019-02-25,365800,38022400,3802240.0,34220160.0,Pending,2019-04-03,13
PRJ-2018-002,2,2018-03-08,2318600,2318600,231860.0,2086740.0,Paid,2018-04-05,9
PRJ-2018-002,3,2018-04-07,2860100,5178700,517870.0,4660830.0,Paid,2018-05-04,12
PRJ-2018-002,4,2018-05-07,2848100,8026800,802680.0,7224120.0,Approved,2018-06-02,15
PRJ-2018-002,5,2018-06-06,1845800,9872600,987260.0,8885340.0,Paid,2018-07-16,15
PRJ-2018-002,6,2018-07-06,1757600,11630200,1163020.0,10467180.0,Pending,2018-08-08,15
PRJ-2018-002,7,2018-08-05,1698500,13328700,1332870.0,11995830.0,Pending,2018-09-08,15
PRJ-2018-002,8,2018-09-04,1740800,15069500,1506950.0,13562550.0,Approved,,15
PRJ-2018-002,9,2018-10-04,1745100,16814600,1681460.0,15133140.0,Paid,,15
PRJ-2018-002,10,2018-11-03,1765600,18580200,1858020.0,16722180.0,Paid,2018-12-03,15
PRJ-2018-002,11,2018-12-03,1765200,20345400,2034540.0,18310860.0,Paid,2019-01-06,15
PRJ-2018-002,12,2019-01-02,1735100,22080500,2208050.0,19872450.0,Paid,2019-01-28,15
PRJ-2018-002,13,2019-02-01,1591100,23671600,2367160.0,21304440.0,Pending,2019-03-09,15
PRJ-2018-002,14,2019-03-03,1602800,25274400,2527440.0,22746960.0,Paid,2019-04-01,15
PRJ-2018-002,15,2019-04-02,1557100,26831500,2683150.0,24148350.0,Paid,2019-05-04,15
PRJ-2018-002,16,2019-05-02,1554200,28385700,2838570.0,25547130.0,Pending,2019-06-07,13
PRJ-2018-002,18,2019-07-01,80900,28466600,2846660.0,25619940.0,Pending,,11
PRJ-2018-002,19,2019-07-31,478400,28945000,2894500.0,26050500.0,Pending,2019-09-01,13
PRJ-2018-003,2,2018-03-08,1075500,1075500,107550.0,967950.0,Paid,2018-04-07,9
PRJ-2018-003,3,2018-04-07,1432000,2507500,250750.0,2256750.0,Approved,2018-05-14,12
PRJ-2018-003,4,2018-05-07,1061500,3569000,356900.0,3212100.0,Approved,2018-06-12,15
PRJ-2018-003,5,2018-06-06,796300,4365300,436530.0,3928770.0,Pending,,15
PRJ-2018-003,6,2018-07-06,815000,5180300,518030.0,4662270.0,Approved,2018-08-02,15
PRJ-2018-003,7,2018-08-05,805100,5985400,598540.0,5386860.0,Paid,,15
PRJ-2018-003,8,2018-09-04,801700,6787100,678710.0,6108390.0,Paid,2018-10-10,15
PRJ-2018-003,9,2018-10-04,789500,7576600,757660.0,6818940.0,Paid,,15
PRJ-2018-003,10,2018-11-03,802800,8379400,837940.0,7541460.0,Approved,2018-12-06,15
PRJ-2018-003,11,2018-12-03,779300,9158700,915870.0,8242830.0,Paid,2019-01-12,15
PRJ-2018-003,12,2019-01-02,717700,9876400,987640.0,8888760.0,Pending,2019-02-06,15
PRJ-2018-003,13,2019-02-01,709500,10585900,1058590.0,9527310.0,Paid,,14
PRJ-2018-003,14,2019-03-03,708600,11294500,1129450.0,10165050.0,Pending,2019-04-10,13
PRJ-2018-003,15,2019-04-02,23200,11317700,1131770.0,10185930.0,Paid,2019-05-08,9
PRJ-2018-003,16,2019-05-02,211200,11528900,1152890.0,10376010.0,Pending,2019-06-06,13
PRJ-2018-003,17,2019-06-01,236600,11765500,1176550.0,10588950.0,Pending,2019-06-28,13
PRJ-2018-004,2,2018-04-26,991200,991200,99120.0,892080.0,Approved,2018-05-29,9
PRJ-2018-004,3,2018-05-26,1183000,2174200,217420.0,1956780.0,Approved,2018-06-25,12
PRJ-2018-004,4,2018-06-25,1078700,3252900,325290.0,2927610.0,Approved,2018-08-01,15
PRJ-2018-004,5,2018-07-25,730400,3983300,398330.0,3584970.0,Paid,2018-08-29,15
PRJ-2018-004,6,2018-08-24,723900,4707200,470720.0,4236480.0,Pending,2018-09-18,15
PRJ-2018-004,7,2018-09-23,715500,5422700,542270.0,4880430.0,Paid,2018-11-01,15
PRJ-2018-004,8,2018-10-23,690300,6113000,611300.0,5501700.0,Pending,2018-11-17,15
PRJ-2018-004,9,2018-11-22,725300,6838300,683830.0,6154470.0,Paid,2018-12-17,15
PRJ-2018-004,10,2018-12-22,719300,7557600,755760.0,6801840.0,Paid,,15
PRJ-2018-004,11,2019-01-21,713700,8271300,827130.0,7444170.0,Approved,2019-02-25,15
PRJ-2018-004,12,2019-02-20,684200,8955500,895550.0,8059950.0,Approved,2019-03-25,15
PRJ-2018-004,13,2019-03-22,621200,9576700,957670.0,8619030.0,Paid,2019-04-22,15
PRJ-2018-004,14,2019-04-21,613400,10190100,1019010.0,9171090.0,Paid,2019-05-22,15
PRJ-2018-004,15,2019-05-21,661200,10851300,1085130.0,9766170.0,Paid,2019-06-17,13
PRJ-2018-004,17,2019-07-20,96700,10948000,1094800.0,9853200.0,Pending,2019-08-24,13
PRJ-2018-004,18,2019-08-19,195200,11143200,1114320.0,10028880.0,Pending,2019-09-19,13
PRJ-2018-005,2,2018-02-27,1204500,1204500,120450.0,1084050.0,Paid,2018-03-24,12
PRJ-2018-005,3,2018-03-29,1223400,2427900,242790.0,2185110.0,Paid,,15
PRJ-2018-005,4,2018-04-28,831700,3259600,325960.0,2933640.0,Paid,2018-06-06,15
PRJ-2018-005,5,2018-05-28,841100,4100700,410070.0,3690630.0,Pending,2018-07-02,15
PRJ-2018-005,6,2018-06-27,831700,4932400,493240.0,4439160.0,Paid,2018-07-30,15
PRJ-2018-005,7,2018-07-27,852800,5785200,578520.0,5206680.0,Approved,,15
PRJ-2018-005,8,2018-08-26,729800,6515000,651500.0,5863500.0,Paid,,15
PRJ-2018-005,9,2018-09-25,719000,7234000,723400.0,6510600.0,Paid,2018-10-28,15
PRJ-2018-005,10,2018-10-25,178700,7412700,741270.0,6671430.0,Pending,2018-11-20,14
PRJ-2018-005,11,2018-11-24,226900,7639600,763960.0,6875640.0,Pending,,13
PRJ-2018-006,2,2018-04-13,804700,804700,80470.0,724230.0,Paid,2018-05-08,9
PRJ-2018-006,3,2018-05-13,1010800,1815500,181550.0,1633950.0,Paid,2018-06-18,12
PRJ-2018-006,4,2018-06-12,975800,2791300,279130.0,2512170.0,Paid,2018-07-12,15
PRJ-2018-006,5,2018-07-12,621900,3413200,341320.0,3071880.0,Paid,2018-08-17,15
PRJ-2018-006,6,2018-08-11,605100,4018300,401830.0,3616470.0,Paid,2018-09-15,15
PRJ-2018-006,7,2018-09-10,619200,4637500,463750.0,4173750.0,Pending,,15
PRJ-2018-006,8,2018-10-10,614900,5252400,525240.0,4727160.0,Pending,2018-11-07,15
PRJ-2018-006,9,2018-11-09,581800,5834200,583420.0,5250780.0,Paid,2018-12-05,15
PRJ-2018-006,10,2018-12-09,613900,6448100,644810.0,5803290.0,Pending,2019-01-17,15
PRJ-2018-006,11,2019-01-08,602900,7051000,705100.0,6345900.0,Paid,2019-02-06,15
PRJ-2018-006,12,2019-02-07,589500,7640500,764050.0,6876450.0,Pending,2019-03-17,15
PRJ-2018-006,13,2019-03-09,551700,8192200,819220.0,7372980.0,Paid,2019-04-12,15
PRJ-2018-006,14,2019-04-08,529500,8721700,872170.0,7849530.0,Paid,2019-05-08,15
PRJ-2018-006,15,2019-05-08,530100,9251800,925180.0,8326620.0,Paid,2019-06-17,14
PRJ-2018-006,16,2019-06-07,542200,9794000,979400.0,8814600.0,Paid,2019-07-16,13
PRJ-2018-006,18,2019-08-06,17200,9811200,981120.0,8830080.0,Pending,2019-09-01,8
PRJ-2018-006,19,2019-09-05,160900,9972100,997210.0,8974890.0,Pending,2019-10-15,13
PRJ-2018-007,2,2018-05-25,2866900,2866900,286690.0,2580210.0,Paid,2018-06-23,12
PRJ-2018-007,3,2018-06-24,2826100,5693000,569300.0,5123700.0,Paid,2018-07-28,15
PRJ-2018-007,4,2018-07-24,2150100,7843100,784310.0,7058790.0,Paid,,15
PRJ-2018-007,5,2018-08-23,1999300,9842400,984240.0,8858160.0,Pending,,15
PRJ-2018-007,6,2018-09-22,2019600,11862000,1186200.0,10675800.0,Paid,2018-10-21,15
PRJ-2018-007,7,2018-10-22,2046300,13908300,1390830.0,12517470.0,Paid,,15
PRJ-2018-007,8,2018-11-21,1830200,15738500,1573850.0,14164650.0,Pending,2018-12-30,15
PRJ-2018-007,9,2018-12-21,1740700,17479200,1747920.0,15731280.0,Paid,2019-01-21,15
PRJ-2018-007,10,2019-01-20,387100,17866300,1786630.0,16079670.0,Pending,2019-02-26,15
PRJ-2018-007,11,2019-02-19,568800,18435100,1843510.0,16591590.0,Pending,,14
PRJ-2018-008,2,2018-04-17,397500,397500,39750.0,357750.0,Paid,,9
PRJ-2018-008,3,2018-05-17,448300,845800,84580.0,761220.0,Approved,2018-06-24,12
PRJ-2018-008,4,2018-06-16,530600,1376400,137640.0,1238760.0,Pending,,12
PRJ-2018-008,5,2018-07-16,410200,1786600,178660.0,1607940.0,Approved,2018-08-18,15
PRJ-2018-008,6,2018-08-15,297200,2083800,208380.0,1875420.0,Paid,2018-09-22,15
PRJ-2018-008,7,2018-09-14,302600,2386400,238640.0,2147760.0,Approved,2018-10-16,15
PRJ-2018-008,8,2018-10-14,284200,2670600,267060.0,2403540.0,Approved,2018-11-16,15
PRJ-2018-008,9,2018-11-13,301500,2972100,297210.0,2674890.0,Approved,2018-12-21,15
PRJ-2018-008,10,2018-12-13,284800,3256900,325690.0,2931210.0,Approved,2019-01-16,15
PRJ-2018-008,11,2019-01-12,299400,3556300,355630.0,3200670.0,Paid,,15
PRJ-2018-008,12,2019-02-11,281900,3838200,383820.0,3454380.0,Approved,2019-03-09,15
PRJ-2018-008,13,2019-03-13,301900,4140100,414010.0,3726090.0,Paid,2019-04-20,15
PRJ-2018-008,14,2019-04-12,293700,4433800,443380.0,3990420.0,Paid,2019-05-17,15
PRJ-2018-008,15,2019-05-12,291700,4725500,472550.0,4252950.0,Approved,,15
PRJ-2018-008,16,2019-06-11,275300,5000800,500080.0,4500720.0,Paid,2019-07-11,15
PRJ-2018-008,17,2019-07-11,245000,5245800,524580.0,4721220.0,Paid,2019-08-20,15
PRJ-2018-008,18,2019-08-10,253000,5498800,549880.0,4948920.0,Approved,,14
PRJ-2018-008,19,2019-09-09,266400,5765200,576520.0,5188680.0,Paid,2019-10-10,13
PRJ-2018-008,20,2019-10-09,251400,6016600,601660.0,5414940.0,Paid,,13
PRJ-2018-008,22,2019-12-08,800,6017400,601740.0,5415660.0,Paid,2020-01-11,2
PRJ-2018-008,23,2020-01-07,69600,6087000,608700.0,5478300.0,Pending,2020-02-10,13
PRJ-2018-008,24,2020-02-06,80600,6167600,616760.0,5550840.0,Pending,,13
PRJ-2018-009,2,2018-05-12,1852800,1852800,185280.0,1667520.0,Paid,2018-06-15,12
PRJ-2018-009,3,2018-06-11,2249100,4101900,410190.0,3691710.0,Paid,2018-07-18,15
PRJ-2018-009,4,2018-07-11,1414800,5516700,551670.0,4965030.0,Paid,2018-08-16,15
PRJ-2018-009,5,2018-08-10,1336200,6852900,685290.0,6167610.0,Paid,2018-09-09,15
PRJ-2018-009,6,2018-09-09,1347100,8200000,820000.0,7380000.0,Paid,2018-10-04,15
PRJ-2018-009,7,2018-10-09,1323000,9523000,952300.0,8570700.0,Pending,2018-11-13,15
PRJ-2018-009,8,2018-11-08,1332100,10855100,1085510.0,9769590.0,Paid,,15
PRJ-2018-009,9,2018-12-08,1245500,12100600,1210060.0,10890540.0,Pending,2019-01-09,15
PRJ-2018-009,10,2019-01-07,1158200,13258800,1325880.0,11932920.0,Approved,2019-02-06,15
PRJ-2018-009,11,2019-02-06,1173200,14432000,1443200.0,12988800.0,Paid,2019-03-11,15
PRJ-2018-009,12,2019-03-08,5800,14437800,1443780.0,12994020.0,Pending,,2
PRJ-2018-009,13,2019-04-07,301400,14739200,1473920.0,13265280.0,Pending,2019-05-03,13
PRJ-2018-010,2,2018-03-31,2607600,2607600,260760.0,2346840.0,Approved,2018-04-29,12
PRJ-2018-010,3,2018-04-30,1983000,4590600,459060.0,4131540.0,Approved,2018-05-26,15
PRJ-2018-010,4,2018-05-30,1729400,6320000,632000.0,5688000.0,Approved,2018-06-26,15
PRJ-2018-010,5,2018-06-29,1692300,8012300,801230.0,7211070.0,Paid,2018-07-26,15
PRJ-2018-010,6,2018-07-29,1729100,9741400,974140.0,8767260.0,Pending,2018-08-25,15
PRJ-2018-010,7,2018-08-28,1474400,11215800,1121580.0,10094220.0,Approved,2018-09-29,15
PRJ-2018-010,8,2018-09-27,780500,11996300,1199630.0,10796670.0,Pending,2018-10-31,15
PRJ-2018-010,9,2018-10-27,522300,12518600,1251860.0,11266740.0,Pending,2018-12-04,14
PRJ-2018-011,2,2018-03-29,5124300,5124300,512430.0,4611870.0,Paid,,12
PRJ-2018-011,3,2018-04-28,6825600,11949900,1194990.0,10754910.0,Pending,,15
PRJ-2018-011,4,2018-05-28,3803900,15753800,1575380.0,14178420.0,Paid,2018-06-23,15
PRJ-2018-011,5,2018-06-27,3698900,19452700,1945270.0,17507430.0,Paid,2018-07-22,15
PRJ-2018-011,6,2018-07-27,3755100,23207800,2320780.0,20887020.0,Paid,2018-08-21,15
PRJ-2018-011,7,2018-08-26,3882500,27090300,2709030.0,24381270.0,Pending,2018-09-21,15
PRJ-2018-011,8,2018-09-25,3668700,30759000,3075900.0,27683100.0,Paid,2018-10-21,15
PRJ-2018-011,9,2018-10-25,3694400,34453400,3445340.0,31008060.0,Pending,2018-11-24,15
PRJ-2018-011,10,2018-11-24,3384900,37838300,3783830.0,34054470.0,Approved,2018-12-29,15
PRJ-2018-011,11,2018-12-24,3430000,41268300,4126830.0,37141470.0,Approved,2019-01-18,15
PRJ-2018-011,12,2019-01-23,3346500,44614800,4461480.0,40153320.0,Paid,2019-03-04,15
PRJ-2018-011,13,2019-02-22,100,44614900,4461490.0,40153410.0,Pending,2019-03-20,1
PRJ-2018-011,14,2019-03-24,387800,45002700,4500270.0,40502430.0,Pending,2019-04-24,13
PRJ-2018-012,2,2018-04-12,878100,878100,87810.0,790290.0,Pending,2018-05-21,9
PRJ-2018-012,3,2018-05-12,1021500,1899600,189960.0,1709640.0,Paid,,12
PRJ-2018-012,4,2018-06-11,849400,2749000,274900.0,2474100.0,Paid,2018-07-11,15
PRJ-2018-012,5,2018-07-11,624600,3373600,337360.0,3036240.0,Paid,,15
PRJ-2018-012,6,2018-08-10,613100,3986700,398670.0,3588030.0,Paid,2018-09-05,15
PRJ-2018-012,7,2018-09-09,615500,4602200,460220.0,4141980.0,Approved,2018-10-05,15
PRJ-2018-012,8,2018-10-09,609100,5211300,521130.0,4690170.0,Paid,,15
PRJ-2018-012,9,2018-11-08,595800,5807100,580710.0,5226390.0,Paid,2018-12-17,15
PRJ-2018-012,10,2018-12-08,630400,6437500,643750.0,5793750.0,Approved,2019-01-15,15
PRJ-2018-012,11,2019-01-07,599400,7036900,703690.0,6333210.0,Pending,2019-02-02,15
PRJ-2018-012,12,2019-02-06,540200,7577100,757710.0,6819390.0,Paid,2019-03-16,15
PRJ-2018-012,13,2019-03-08,535200,8112300,811230.0,7301070.0,Paid,,15
PRJ-2018-012,14,2019-04-07,529200,8641500,864150.0,7777350.0,Approved,2019-05-08,14
PRJ-2018-012,15,2019-05-07,11500,8653000,865300.0,7787700.0,Approved,2019-06-13,8
PRJ-2018-012,16,2019-06-06,155500,8808500,880850.0,7927650.0,Pending,,13
PRJ-2018-012,17,2019-07-06,173100,8981600,898160.0,8083440.0,Pending,,13
PRJ-2018-013,2,2018-03-03,347900,347900,34790.0,313110.0,Paid,,9
PRJ-2018-013,3,2018-04-02,430600,778500,77850.0,700650.0,Approved,,12
PRJ-2018-013,4,2018-05-02,437900,1216400,121640.0,1094760.0,Paid,2018-06-08,15
PRJ-2018-013,5,2018-06-01,264000,1480400,148040.0,1332360.0,Paid,2018-07-04,15
PRJ-2018-013,6,2018-07-01,252500,1732900,173290.0,1559610.0,Paid,,15
PRJ-2018-013,7,2018-07-31,253400,1986300,198630.0,1787670.0,Pending,2018-08-31,15
PRJ-2018-013,8,2018-08-30,261800,2248100,224810.0,2023290.0,Pending,2018-09-29,15
PRJ-2018-013,9,2018-09-29,244700,2492800,249280.0,2243520.0,Paid,2018-11-04,15
PRJ-2018-013,10,2018-10-29,263700,2756500,275650.0,2480850.0,Approved,2018-11-28,15
PRJ-2018-013,11,2018-11-28,250100,3006600,300660.0,2705940.0,Paid,2019-01-02,15
PRJ-2018-013,12,2018-12-28,254200,3260800,326080.0,2934720.0,Paid,2019-01-30,15
PRJ-2018-013,13,2019-01-27,247900,3508700,350870.0,3157830.0,Pending,,15
PRJ-2018-013,14,2019-02-26,226400,3735100,373510.0,3361590.0,Paid,,15
PRJ-2018-013,15,2019-03-28,227600,3962700,396270.0,3566430.0,Paid,2019-04-28,14
PRJ-2018-013,16,2019-04-27,221800,4184500,418450.0,3766050.0,Paid,2019-05-25,13
PRJ-2018-013,17,2019-05-27,235200,4419700,441970.0,3977730.0,Paid,2019-06-29,13
PRJ-2018-013,20,2019-08-25,48900,4468600,446860.0,4021740.0,Pending,2019-10-02,13
PRJ-2018-014,2,2018-03-16,1225700,1225700,122570.0,1103130.0,Paid,,9
PRJ-2018-014,3,2018-04-15,1606700,2832400,283240.0,2549160.0,Paid,,12
PRJ-2018-014,4,2018-05-15,993200,3825600,382560.0,3443040.0,Paid,2018-06-20,15
PRJ-2018-014,5,2018-06-14,960700,4786300,478630.0,4307670.0,Paid,2018-07-13,15
PRJ-2018-014,6,2018-07-14,887700,5674000,567400.0,5106600.0,Approved,2018-08-10,15
PRJ-2018-014,7,2018-08-13,918700,6592700,659270.0,5933430.0,Approved,2018-09-20,15
PRJ-2018-014,8,2018-09-12,892000,7484700,748470.0,6736230.0,Paid,2018-10-20,15
PRJ-2018-014,9,2018-10-12,922300,8407000,840700.0,7566300.0,Pending,,15
PRJ-2018-014,10,2018-11-11,882200,9289200,928920.0,8360280.0,Paid,2018-12-15,15
PRJ-2018-014,11,2018-12-11,799300,10088500,1008850.0,9079650.0,Approved,2019-01-20,15
PRJ-2018-014,12,2019-01-10,770200,10858700,1085870.0,9772830.0,Paid,2019-02-17,14
