project_id,total_budget,total_billed,avg_billing_gap,total_co_amount,total_delay_days,margin
PRJ-2018-038,10084000,10013100,-0.010470625988816096,2381800.0,24.0,-0.007030940103133677
PRJ-2018-039,5379000,5339800,0.00660885664318395,198400.0,4.0,-0.007287599925636735
PRJ-2018-040,20326000,20185900,-0.004748502129621102,4598400.0,75.0,-0.006892649808127521
PRJ-2018-041,40791000,40499100,-0.013868052191728946,11736900.0,80.0,-0.007155990291976172
PRJ-2018-042,15625000,15520500,-0.006385321746707481,3214400.0,110.0,-0.006688
PRJ-2018-043,7392000,7344700,0.008670263093504597,3235700.0,109.0,-0.006398809523809524
PRJ-2018-044,7204000,7155400,-0.007710177136928564,1740300.0,21.0,-0.006746252082176569
PRJ-2018-045,4201000,4172700,0.00040284275675238254,649900.0,16.0,-0.006736491311592478
PRJ-2018-046,6747000,6695800,-0.004634072770497255,2192500.0,0.0,-0.007588557877575218
PRJ-2018-047,12546000,12464100,-0.0001914494846460002,1057800.0,64.0,-0.006527977044476327
PRJ-2018-048,6077000,6036200,0.003639309575809572,1143500.0,6.0,-0.006713839065328287
PRJ-2018-049,4707000,4672100,-0.0059779886293777435,881700.0,0.0,-0.007414489058848523
PRJ-2018-050,3613000,3590700,0.0049077378849299675,914600.0,44.0,-0.006172156102961528
PRJ-2018-051,6433000,6390400,0.0026965693978761845,1173600.0,49.0,-0.006622104772267993
PRJ-2018-052,3101000,3076200,-0.0013741772709238375,720700.0,97.0,-0.00799742018703644
PRJ-2018-053,3488000,3464000,-0.0016534649200347455,795900.0,21.0,-0.006880733944954129
PRJ-2018-054,19488000,19355600,0.009157048594317038,4685600.0,45.0,-0.0067939244663382595
PRJ-2018-055,5485000,5449200,0.00514305831803199,1555900.0,48.0,-0.006526891522333637
PRJ-2018-056,36355000,36121600,-0.0047296022111870195,7209200.0,0.0,-0.006420024755879521
PRJ-2018-057,14417000,14319700,0.0045260999170030425,2230900.0,61.0,-0.0067489769022681554
PRJ-2018-058,5584000,5542600,0.0037988703043121555,-228200.0,0.0,-0.00741404011461318
PRJ-2018-059,13417000,13323600,-0.004989171326249675,855400.0,34.0,-0.006961317731236491
PRJ-2018-060,12239000,12148300,0.0033390613651818057,341800.0,0.0,-0.007410736171255821
PRJ-2018-061,36618000,36356500,0.010896909419374386,4496200.0,28.0,-0.007141296630072642
PRJ-2018-062,18069000,17951800,0.0006896611558071679,3958100.0,82.0,-0.006486247163650451
PRJ-2018-063,5612000,5571400,-0.007026532954335115,652700.0,31.0,-0.0072344975053456875
PRJ-2018-064,12004000,11924700,-0.0065224542437979,2593500.0,43.0,-0.006606131289570143
PRJ-2018-065,10603000,10527500,0.0009112566808890202,2212800.0,16.0,-0.00712062623785721
PRJ-2018-066,19638000,19502100,-0.001279437124091487,6556800.0,118.0,-0.00692025664527956
PRJ-2018-067,27567000,27337300,0.006700260012818641,-750700.0,0.0,-0.008332426451917146
PRJ-2018-068,8544000,8484600,-0.008866342327445409,930500.0,56.0,-0.006952247191011236
PRJ-2018-069,15603000,15508700,0.004091195905694652,5521400.0,65.0,-0.006043709543036595
PRJ-2018-070,14309000,14211600,-0.002728590480666071,5984300.0,85.0,-0.0068069047452652175
PRJ-2018-071,28100000,27903800,0.0009692670017017235,9055200.0,92.0,-0.00698220640569395
PRJ-2018-072,17167000,17023900,-0.006772618065321012,1690500.0,33.0,-0.008335760470670472
PRJ-2018-073,5550000,5505200,-0.008694609091018416,700800.0,28.0,-0.008072072072072072
PRJ-2018-074,4055000,4025000,-0.0067384884724845055,695600.0,23.0,-0.007398273736128237
PRJ-2018-075,11890000,11823600,-0.011120411192611831,5800300.0,149.0,-0.005584524810765349
PRJ-2018-076,16224000,16121600,-0.002288202640707482,2935700.0,60.0,-0.00631163708086785
PRJ-2018-077,4898000,4867200,-0.005380424725584968,1380800.0,28.0,-0.006288280930992242
PRJ-2018-078,8156000,8107100,-0.01261662257482404,1931000.0,23.0,-0.005995586071603727
PRJ-2018-079,16064000,15943000,0.004833501736268886,6576000.0,29.0,-0.007532370517928287
PRJ-2018-080,21159000,21015000,0.006375352650952474,6443200.0,86.0,-0.006805614632071459
PRJ-2019-081,52999000,52698400,-0.007996835535197987,12086700.0,10.0,-0.005671805128398649
PRJ-2019-082,41115000,40856900,-0.018713605909387827,8255200.0,111.0,-0.006277514289188861
PRJ-2019-083,8483000,8426800,0.0026627282755545896,1372600.0,27.0,-0.006625014735353059
PRJ-2019-084,7196000,7147700,-0.010769923193535647,1418400.0,33.0,-0.006712062256809338
PRJ-2019-085,6578000,6529700,-0.0008514123661190827,1273700.0,56.0,-0.0073426573426573424
PRJ-2019-086,16463000,16349700,0.0025520518749061693,3797800.0,54.0,-0.006882099252870072
PRJ-2019-087,23848000,23679700,0.002070185135715974,4299200.0,15.0,-0.007057195571955719
PRJ-2019-088,9124000,9056500,0.006473489697120272,1581800.0,42.0,-0.007398071021481806
PRJ-2019-089,12969000,12876000,0.0036814858685175977,4589600.0,70.0,-0.0071709461022438125
PRJ-2019-090,3276000,3250800,-0.016854080663396567,932900.0,74.0,-0.007692307692307693
PRJ-2019-091,37972000,37705400,0.005239873002509891,7535300.0,57.0,-0.0070209628147055725
PRJ-2019-092,13785000,13685000,-0.0077741960814781425,942300.0,29.0,-0.007254261878853826
PRJ-2019-093,10135000,10065300,0.002724778688361577,2257800.0,15.0,-0.006877158362111495
PRJ-2019-094,21983000,21854500,0.0012447201362391525,3231400.0,0.0,-0.0058454260110085065
PRJ-2019-095,11001000,10928800,0.0034971750353141335,2759100.0,71.0,-0.0065630397236614854
PRJ-2019-096,9588000,9515700,-0.01142660301276616,925400.0,31.0,-0.007540675844806007
PRJ-2019-097,8337000,8287400,0.007423662021047524,2301300.0,85.0,-0.005949382271800408
PRJ-2019-098,6621000,6575400,-0.0038499161700599415,1257200.0,12.0,-0.006887177163570458
PRJ-2019-099,10701000,10626200,0.00020926498880461015,816400.0,16.0,-0.006990000934492103
PRJ-2019-100,5785000,5740000,-0.0022219193099459744,612500.0,15.0,-0.007778738115816767
PRJ-2019-101,43110000,42769500,-7.388324774903292e-05,5847600.0,0.0,-0.007898399443284621
PRJ-2019-102,42813000,42520100,-0.00033608750739328266,3019200.0,14.0,-0.00684137995468666
PRJ-2019-103,5820000,5777700,0.004356415268006231,1753300.0,48.0,-0.007268041237113402
PRJ-2019-104,14396000,14265200,0.0009458464019890774,2519900.0,62.0,-0.009085857182550708
PRJ-2019-105,14305000,14194900,0.006001683499876739,1488900.0,21.0,-0.0076966095770709545
PRJ-2019-106,50158000,49763900,-0.00750055802814605,12766700.0,126.0,-0.007857171338570118
PRJ-2019-107,16925000,16812800,0.0022682097491686665,1661300.0,29.0,-0.006629246676514032
PRJ-2019-108,10813000,10742000,0.004613696812666035,4811600.0,106.0,-0.006566170350504023
PRJ-2019-109,14103000,14003800,-0.009735682246674553,2357300.0,52.0,-0.007033964404736581
PRJ-2019-110,3872000,3847000,0.010262221986970606,294000.0,6.0,-0.006456611570247934
PRJ-2019-111,10721000,10652700,0.0031394372077357957,1056300.0,28.0,-0.006370674377390169
PRJ-2019-112,10030000,9951700,0.010133593935247138,1082500.0,7.0,-0.007806580259222333
PRJ-2019-113,3319000,3298500,0.003711523441701085,1063900.0,56.0,-0.0061765592045796925
PRJ-2019-114,21934000,21794400,-1.6815792903912552e-05,3098800.0,21.0,-0.0063645481900246196
PRJ-2019-115,25864000,25668700,0.009775595226533559,6297300.0,113.0,-0.007551036189297866
PRJ-2019-116,30690000,30475400,0.004810778195769671,6580900.0,15.0,-0.006992505702183122
PRJ-2019-117,23416000,23242700,0.0029580472988281294,5092700.0,39.0,-0.007400922446190639
PRJ-2019-118,4569000,4536200,-0.007633346866675576,1137100.0,37.0,-0.007178813744801926
PRJ-2019-119,19776000,19638700,-0.004466740727905479,4130400.0,11.0,-0.006942758899676375
PRJ-2019-120,7611000,7566200,-0.0023161449239542738,464200.0,112.0,-0.005886217317041124
PRJ-2019-121,47765000,47466600,0.012062097906598979,18325200.0,77.0,-0.006247252172092536
PRJ-2019-122,3259000,3235900,-0.0003149445152918891,-31800.0,0.0,-0.007088063823258668
PRJ-2019-123,9763000,9694800,-0.0011900903473597662,1379600.0,0.0,-0.006985557717914576
PRJ-2019-124,6722000,6667500,0.004184367037944033,1183000.0,11.0,-0.008107706039869086
PRJ-2019-125,14385000,14284500,-0.003139712726806465,2836100.0,20.0,-0.006986444212721585
PRJ-2019-126,42999000,42722900,0.0014563311775977656,14739400.0,134.0,-0.006421079559989767
PRJ-2019-127,12380000,12278000,0.005779716229818632,3022700.0,0.0,-0.008239095315024232
PRJ-2019-128,3238000,3218200,-0.00115728522884145,52300.0,7.0,-0.006114885731933292
PRJ-2019-129,14922000,14818000,-0.006161814344876385,1457800.0,10.0,-0.006969575123978019
PRJ-2019-130,7207000,7148700,-0.002807226244023771,3526600.0,91.0,-0.00808935756903011
PRJ-2019-131,44330000,44030700,-0.0027854305139129567,10018700.0,55.0,-0.006751635461312881
PRJ-2019-132,4919000,4891200,0.01248814275170768,579500.0,19.0,-0.005651555194145151
PRJ-2019-133,8572000,8507600,0.0008252095052114327,1499400.0,25.0,-0.007512832477834811
PRJ-2019-134,5471000,5435400,-0.0004451357221758675,1195300.0,48.0,-0.006507037104734052
PRJ-2019-135,17311000,17205800,0.003252722015373403,4769600.0,117.0,-0.006077060828375022
PRJ-2019-136,8264000,8200500,-0.0011429734891559443,1774700.0,20.0,-0.007683930300096805
PRJ-2019-137,28675000,28487700,-0.003425990445290002,11489800.0,76.0,-0.00653182214472537
PRJ-2019-138,12417000,12335900,-0.0018353391242214912,4832500.0,129.0,-0.006531368285415157
PRJ-2019-139,7332000,7279100,-0.0037322931679606578,2669600.0,44.0,-0.007214948172394981
PRJ-2019-140,11399000,11317400,0.0034019057293420475,3408400.0,105.0,-0.007158522677427844
PRJ-2019-141,37483000,37242600,0.0014203237665801301,6316200.0,39.0,-0.006413574153616306
PRJ-2019-142,27982000,27745300,-0.0008081889954003903,3721700.0,48.0,-0.008459009363162033
PRJ-2019-143,3114000,3091200,0.004034647968475724,528400.0,62.0,-0.007321772639691715
PRJ-2019-144,8799000,8733100,-0.007732822463729387,3276200.0,81.0,-0.007489487441754745
PRJ-2019-145,4355000,4328500,-0.0018087583805282748,7000.0,14.0,-0.0060849598163031
PRJ-2019-146,7959000,7895000,0.0016366004574981238,471800.0,65.0,-0.00804121120743812
PRJ-2019-147,18067000,17939600,-0.0006255353195333176,5953500.0,21.0,-0.0070515304145679965
PRJ-2019-148,7547000,7496600,0.006778755980586955,1214300.0,53.0,-0.006678150258380813
PRJ-2019-149,21493000,21350300,0.005208588124705216,1292300.0,24.0,-0.006639370957986321
PRJ-2019-150,26488000,26312900,-0.002887070707412439,7427600.0,128.0,-0.006610540622168529
PRJ-2019-151,29676000,29489000,-0.011505472287005129,7164200.0,38.0,-0.0063013883272678255
PRJ-2019-152,2246000,2229100,0.005749575938773432,451200.0,39.0,-0.007524487978628674
PRJ-2019-153,4947000,4912400,-0.006762888526317094,2372000.0,125.0,-0.006994137861330099
PRJ-2019-154,6455000,6415400,0.004581656379390135,718900.0,68.0,-0.0061347792408985285
PRJ-2019-155,7959000,7902700,0.002096854421203413,1022100.0,42.0,-0.007073752984043222
PRJ-2019-156,36862000,36625800,-0.010993925956453647,5952000.0,40.0,-0.0064076827084802775
PRJ-2019-157,6804000,6756100,0.01114093001032188,2172200.0,206.0,-0.007039976484420929
PRJ-2019-158,5838000,5800100,0.009612123948121129,689600.0,12.0,-0.006491949297704694
PRJ-2019-159,18511000,18388000,-0.008561062942654492,1623600.0,14.0,-0.006644697747285398
PRJ-2019-160,6817000,6770600,0.004953323441024319,1951300.0,96.0,-0.00680651312894235
PRJ-2020-161,58874000,58488700,0.006671447449745452,10703900.0,59.0,-0.006544484832014132
PRJ-2020-162,29697000,29454800,0.003018395689557944,615900.0,6.0,-0.008155705963565343
PRJ-2020-163,7125000,7078600,-0.004091192307728875,3548200.0,73.0,-0.006512280701754386
PRJ-2020-164,7029000,6974300,-0.0018460483025838433,1740100.0,5.0,-0.0077820458102148245
PRJ-2020-165,8448000,8392100,-0.0019851835285085904,3803200.0,42.0,-0.006616950757575757
PRJ-2020-166,52683000,52335200,0.011400513594117949,14046700.0,34.0,-0.006601750090161912
PRJ-2020-167,10960000,10884400,-0.004809769391566003,1462300.0,21.0,-0.006897810218978102
PRJ-2020-168,7650000,7586700,0.001161377904123621,659700.0,28.0,-0.00827450980392157
PRJ-2020-169,10657000,10566500,-0.006264884511675935,992800.0,21.0,-0.008492070939288731
PRJ-2020-170,4816000,4781200,-0.004826292032312078,269100.0,56.0,-0.007225913621262459
PRJ-2020-171,5525000,5483200,-0.012473247297688773,511400.0,35.0,-0.007565610859728507
PRJ-2020-172,4940000,4908700,-0.005767623186046459,1208200.0,14.0,-0.0063360323886639675
PRJ-2020-173,3384000,3359200,0.00940783269347681,615500.0,17.0,-0.007328605200945627
PRJ-2020-174,8026000,7974800,0.002544003150799767,3081000.0,21.0,-0.006379267381011712
PRJ-2020-175,21782000,21617900,-0.0001380544758992149,5148800.0,27.0,-0.007533743457901019
PRJ-2020-176,29701000,29496000,-0.003751607286482302,538900.0,29.0,-0.006902124507592337
PRJ-2020-177,11218000,11131700,-0.0017736185670997884,2654300.0,36.0,-0.007692993403458727
PRJ-2020-178,13653000,13548500,-0.012951113069753243,1069000.0,42.0,-0.007653995458873508
PRJ-2020-179,22670000,22532800,-0.0007881702412134928,6512900.0,14.0,-0.006052051168945743
PRJ-2020-180,8550000,8496900,0.0006131484656094699,3872800.0,174.0,-0.006210526315789474
PRJ-2020-181,37213000,36952500,0.01200854633823667,9157800.0,63.0,-0.007000241850966061
PRJ-2020-182,7358000,7311300,-0.022174689925537904,2609900.0,53.0,-0.0063468333786354985
PRJ-2020-183,14144000,14052900,-0.007328058070034634,3790000.0,49.0,-0.006440893665158371
PRJ-2020-184,5820000,5786200,-0.02318668115278418,2506400.0,131.0,-0.005807560137457045
PRJ-2020-185,3792000,3767700,-0.0022499553110804983,284700.0,49.0,-0.006408227848101266
PRJ-2020-186,27278000,27092300,-0.00653057608175042,2669100.0,33.0,-0.006807683847789427
PRJ-2020-187,10850000,10772500,4.3972993808930974e-05,1160300.0,30.0,-0.007142857142857143
PRJ-2020-188,7817000,7764300,0.005015890516621842,4420900.0,20.0,-0.006741716771139823
PRJ-2020-189,25784000,25627000,-0.00262323355757322,4466400.0,98.0,-0.006089047471300031
PRJ-2020-190,6390000,6342200,0.004001981081142958,1616600.0,114.0,-0.007480438184663537
PRJ-2020-191,46534000,46120000,-0.007190702420517899,10128200.0,51.0,-0.008896720677354192
PRJ-2020-192,16402000,16296800,-0.005462252398849425,2142400.0,24.0,-0.00641385196927204
PRJ-2020-193,14923000,14828400,-0.007432796165293591,8804800.0,79.0,-0.006339207934061516
PRJ-2020-194,19531000,19377200,-0.006591156120902989,2081200.0,21.0,-0.007874660795658184
PRJ-2020-195,16764000,16644800,0.0031728752275284934,6946500.0,136.0,-0.00711047482701026
PRJ-2020-196,35312000,35071200,0.0012434223509226665,7392600.0,93.0,-0.006819211599456276
PRJ-2020-197,2640000,2619700,-0.0007108837188278964,476100.0,80.0,-0.0076893939393939395
PRJ-2020-198,10617000,10548500,0.0013722767039250053,2488300.0,82.0,-0.006451916737308091
PRJ-2020-199,17456000,17352200,-0.0012835486483908198,1773500.0,10.0,-0.005946379468377635
PRJ-2020-200,4488000,4456400,0.011930701702295703,1742400.0,42.0,-0.007040998217468806
PRJ-2020-201,43769000,43453300,-0.008332222551228103,10691900.0,87.0,-0.007212867554661976
PRJ-2020-202,27217000,27043300,0.0032596724904522035,15726400.0,83.0,-0.006382040636366977
PRJ-2020-203,4570000,4541500,-0.009713490060809704,1538200.0,142.0,-0.006236323851203501
PRJ-2020-204,22017000,21879800,-0.006786790627320253,1139200.0,16.0,-0.006231548349003043
PRJ-2020-205,7258000,7214000,-0.0138018226901778,1276500.0,26.0,-0.00606227610912097
PRJ-2020-206,19628000,19496700,0.0015155983413857636,5969200.0,78.0,-0.006689423272875484
PRJ-2020-207,3989000,3955900,0.004596786632137651,295800.0,46.0,-0.008297819002256205
PRJ-2020-208,13209000,13113600,-0.007066672593831906,1556200.0,78.0,-0.007222348398818987
PRJ-2020-209,13910000,13827800,-0.0011978490803538004,2462200.0,14.0,-0.00590941768511862
PRJ-2020-210,15485000,15363300,0.002225042764288787,1077200.0,5.0,-0.00785921859864385
PRJ-2020-211,39163000,38878300,-0.0001881152124288595,8116500.0,9.0,-0.007269616730076858
PRJ-2020-212,31617000,31408300,0.007537542157907259,14807700.0,178.0,-0.006600879273808394
PRJ-2020-213,3162000,3140400,0.00657789457821707,304000.0,29.0,-0.00683111954459203
PRJ-2020-214,12266000,12160200,-0.0010645063061578716,1924600.0,42.0,-0.008625468775476928
PRJ-2020-215,25173000,25024200,-0.005955796730736059,8011800.0,18.0,-0.005911095221070194
PRJ-2020-216,50756000,50433500,0.005013087878630055,4623900.0,14.0,-0.006353928599574434
PRJ-2020-217,4321000,4290100,-0.012471467652070108,398100.0,70.0,-0.007151122425364499
PRJ-2020-218,10797000,10723000,-0.007570966643363401,1985200.0,72.0,-0.006853755672872094
PRJ-2020-219,26976000,26803900,0.01170836983917809,5731700.0,38.0,-0.006379744958481613
PRJ-2020-220,16642000,16531800,0.0023618642901548506,2568400.0,49.0,-0.006621800264391299
PRJ-2020-221,13847000,13753700,-0.004856235133922837,4559000.0,73.0,-0.006737921571459522
PRJ-2020-222,10170000,10103800,0.009352354564948465,1736300.0,15.0,-0.006509341199606686
PRJ-2020-223,7827000,7781000,0.01525429935637798,1211700.0,15.0,-0.005877092117030791
PRJ-2020-224,17418000,17309200,0.0012542593057446537,4494700.0,41.0,-0.006246411757951545
PRJ-2020-225,5017000,4981700,-0.000842850417834029,1198000.0,27.0,-0.007036077337054017
PRJ-2020-226,52146000,51820700,0.006622096361235208,10178300.0,16.0,-0.006238254132627623
PRJ-2020-227,27835000,27642400,-0.007640612778978569,3363800.0,36.0,-0.006919346146937309
PRJ-2020-228,8395000,8334900,-0.0008259013882498796,994900.0,28.0,-0.007159023228111972
PRJ-2020-229,7202000,7149800,0.0024321486399249653,1281800.0,13.0,-0.007247986670369342
PRJ-2020-230,6912000,6856000,0.011492942371201782,587300.0,0.0,-0.008101851851851851
PRJ-2020-231,11391000,11314300,-0.002438349568667301,3782300.0,74.0,-0.0067333860064963565
PRJ-2020-232,7301000,7252600,-0.005053022158343386,1427400.0,57.0,-0.0066292288727571565
PRJ-2020-233,4218000,4188800,-0.00018683293741332817,749600.0,41.0,-0.006922712185870081
PRJ-2020-234,18348000,18210200,0.005730838148029231,1463300.0,9.0,-0.007510355352081971
PRJ-2020-235,17688000,17568500,0.0031405956022524605,5736600.0,39.0,-0.00675599276345545
PRJ-2020-236,12168000,12071700,0.0007687880869411857,2805900.0,49.0,-0.007914201183431953
PRJ-2020-237,33680000,33429700,0.0025405506809022425,2983100.0,6.0,-0.007431710213776722
PRJ-2020-238,9628000,9570000,-0.013234859773630585,1012100.0,74.0,-0.006024096385542169
PRJ-2020-239,25204000,24992900,0.012008154756725276,7541300.0,69.0,-0.008375654657990795
PRJ-2020-240,8580000,8519500,0.006280710584489194,2696100.0,68.0,-0.007051282051282051
PRJ-2021-241,21326000,21190400,-0.0031035316986323855,1766500.0,66.0,-0.006358435712276095
PRJ-2021-242,12997000,12910200,-0.006342894492868822,3878100.0,79.0,-0.006678464260983304
PRJ-2021-243,3832000,3804800,-0.00446611865422805,841300.0,32.0,-0.007098121085594989
PRJ-2021-244,13475000,13381900,-0.013220439518534969,1645400.0,43.0,-0.006909090909090909
PRJ-2021-245,9375000,9302500,-0.0042966041073725595,2978500.0,7.0,-0.007733333333333333
PRJ-2021-246,9501000,9436700,-0.00023594573342033224,3332900.0,121.0,-0.006767708662246079
PRJ-2021-247,16914000,16776100,-0.0009438004250929073,418700.0,0.0,-0.00815300934137401
PRJ-2021-248,10337000,10275000,-0.012057273121657393,1647600.0,26.0,-0.005997871722937022
PRJ-2021-249,22257000,22118400,0.0028862564826927914,4929100.0,19.0,-0.006227254346947028
PRJ-2021-250,13401000,13304500,0.011852596723988995,3555700.0,36.0,-0.007200955152600552
PRJ-2021-251,37123000,36898000,-0.017826297763090793,11643700.0,21.0,-0.006060932575492282
PRJ-2021-252,16141000,16034200,0.005772386862016295,1221400.0,10.0,-0.006616690415711542
PRJ-2021-253,15036000,14939900,-0.005163428552175257,2646200.0,63.0,-0.006391327480712955
PRJ-2021-254,7049000,6997700,-0.0035767809403864704,1095600.0,70.0,-0.007277628032345013
PRJ-2021-255,10826000,10746400,0.0017829122098675042,369200.0,0.0,-0.0073526694993534085
PRJ-2021-256,27189000,26986100,0.0015455264138154235,4976200.0,19.0,-0.0074625767773732025
PRJ-2021-257,22625000,22476900,-0.004247631493025021,6984000.0,60.0,-0.00654585635359116
PRJ-2021-258,6385000,6342300,0.004913288729995694,721500.0,29.0,-0.006687548942834769
PRJ-2021-259,11725000,11644900,-0.0009606956538722974,3533900.0,25.0,-0.006831556503198295
PRJ-2021-260,2608000,2593200,-0.0003024395354771059,526200.0,63.0,-0.005674846625766871
PRJ-2021-261,24629000,24431600,-0.004429599204320312,64400.0,10.0,-0.008014941735352632
PRJ-2021-262,25551000,25364300,-0.01932190762764113,6127600.0,50.0,-0.0073069547180149505
PRJ-2021-263,9504000,9427600,-0.0020048639188303243,2307500.0,96.0,-0.008038720538720538
PRJ-2021-264,19784000,19658000,0.0023536912374623855,5061400.0,54.0,-0.006368782854832188
PRJ-2021-265,5721000,5679300,-0.007900488391107767,1888900.0,49.0,-0.007288935500786576
PRJ-2021-266,14520000,14421000,0.00028699865053833187,4158000.0,83.0,-0.006818181818181818
PRJ-2021-267,11491000,11418900,0.008234172186432905,4941300.0,95.0,-0.006274475676616482
PRJ-2021-268,2795000,2773700,-0.002478252189279336,256600.0,25.0,-0.007620751341681574
PRJ-2021-269,5968000,5930600,0.004946502630114462,2031200.0,74.0,-0.006266756032171581
PRJ-2021-270,10208000,10145500,-0.0025579204859099034,1450100.0,14.0,-0.0061226489028213165
PRJ-2021-271,37774000,37524700,0.004720772999288177,11502900.0,132.0,-0.006599777624821306
PRJ-2021-272,3248000,3216700,-0.019230436223759285,418000.0,10.0,-0.009636699507389162
PRJ-2021-273,3323000,3295300,-0.0013594800375036206,469700.0,10.0,-0.008335841107433042
PRJ-2021-274,14505000,14403300,0.008884371456856381,3067200.0,90.0,-0.007011375387797311
PRJ-2021-275,17258000,17106800,-0.0015957106348802577,1373900.0,28.0,-0.008761154247305598
PRJ-2021-276,39364000,39079500,0.007583120807608642,9846500.0,98.0,-0.00722741591301697
PRJ-2021-277,11417000,11330400,-0.004263071604857297,1264100.0,30.0,-0.007585179994744679
PRJ-2021-278,7335000,7285100,-0.011867547154497515,743400.0,12.0,-0.006802999318336742
PRJ-2021-279,6492000,6441500,-0.010986744255894602,1248800.0,75.0,-0.007778804682686383
PRJ-2021-280,17061000,16958100,-0.008488772578299593,1679200.0,36.0,-0.006031299454897134
PRJ-2021-281,43539000,43232500,0.00574730045361207,5656400.0,90.0,-0.007039665587174717
PRJ-2021-282,20659000,20522200,-0.006059536656110254,5049300.0,83.0,-0.006621811317101506
PRJ-2021-283,3010000,2989800,-0.0026658987979876277,588100.0,21.0,-0.006710963455149502
PRJ-2021-284,6507000,6462000,-0.00510188196943299,208900.0,23.0,-0.006915629322268326
PRJ-2021-285,6250000,6207100,-0.007346725218907105,1332800.0,15.0,-0.006864
PRJ-2021-286,33113000,32890900,-0.0003200739148098819,8852300.0,49.0,-0.006707335487572856
PRJ-2021-287,9202000,9128200,-0.001927020977346198,-142800.0,17.0,-0.008019995653118887
PRJ-2021-288,9948000,9884500,-0.004742806273911052,2130300.0,43.0,-0.006383192601527946
PRJ-2021-289,18201000,18095100,-0.003894141451257838,8263100.0,49.0,-0.005818361628481952
PRJ-2021-290,17033000,16897900,0.005594188691822903,4731000.0,62.0,-0.007931662067750837
PRJ-2021-291,26365000,26172700,0.003363483895845813,3452200.0,42.0,-0.007293760667551679
