project_id,delivery_id,date,sov_line_id,material_category,item_description,quantity,unit,unit_cost,total_cost,po_number,vendor,received_by,condition_notes
PRJ-2024-001,DEL-001-536ced,2024-11-01,PRJ-2024-001-SOV-11,Controls,"Control Valve 2""",35,EA,5935.2,207732.02,PO-45735,RE Michel,R. Williams,Good condition
PRJ-2024-001,DEL-001-cbb1f5,2024-11-05,PRJ-2024-001-SOV-09,Equipment,RTU 15-Ton,4,EA,120945.32,483781.29,PO-80015,Carrier Enterprise,J. Martinez,Good condition
PRJ-2024-001,DEL-001-f85d52,2024-11-21,PRJ-2024-001-SOV-07,Equipment,Boiler 2000MBH,4,EA,4306.85,17227.41,PO-47566,Carrier Enterprise,D. Patel,Good condition
PRJ-2024-001,DEL-001-a94dac,2024-11-22,PRJ-2024-001-SOV-08,Equipment,"VAV Box 12""",24,EA,14078.86,337892.56,PO-25365,Carrier Enterprise,R. Williams,Good condition
PRJ-2024-001,DEL-001-fe7466,2024-11-27,PRJ-2024-001-SOV-07,Equipment,RTU 25-Ton,1,EA,869119.34,869119.34,PO-71763,Johnstone Supply,J. Martinez,Good condition
PRJ-2024-001,DEL-001-666fee,2024-11-30,PRJ-2024-001-SOV-05,Piping,Pipe Hangers Assorted,404,LF,280.15,113179.47,PO-30941,Johnstone Supply,K. Thompson,Good condition
PRJ-2024-001,DEL-001-a43c2e,2024-12-09,PRJ-2024-001-SOV-08,Equipment,"VAV Box 12""",39,EA,1446.02,56394.7,PO-20361,Johnstone Supply,J. Martinez,Good condition
PRJ-2024-001,DEL-001-915f49,2024-12-10,PRJ-2024-001-SOV-08,Equipment,RTU 25-Ton,3,EA,178575.29,535725.86,PO-56094,ACR Group,K. Thompson,Good condition
PRJ-2024-001,DEL-001-efc710,2024-12-19,PRJ-2024-001-SOV-06,Piping,"Black Steel Sch40 2""",743,LF,21.19,15744.87,PO-10364,ACR Group,D. Patel,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-afef60,2024-12-25,PRJ-2024-001-SOV-11,Controls,Touchscreen Interface,46,EA,3164.74,145577.87,PO-62858,Ferguson Supply,R. Williams,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-87f1d5,2025-01-02,PRJ-2024-001-SOV-09,Equipment,"VAV Box 12""",15,EA,10528.2,157923.02,PO-89702,Johnstone Supply,R. Williams,Good condition
PRJ-2024-001,DEL-001-935290,2025-01-11,PRJ-2024-001-SOV-06,Piping,"Copper Type L 1.5""",638,LF,227.54,145171.7,PO-66441,Carrier Enterprise,R. Williams,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-64a359,2025-01-18,PRJ-2024-001-SOV-11,Controls,Temp Sensor,12,EA,7416.97,89003.69,PO-51096,Winsupply,D. Patel,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-b59508,2025-01-23,PRJ-2024-001-SOV-10,Controls,DDC Controller,96,EA,2706.43,259817.07,PO-25398,Carrier Enterprise,D. Patel,Good condition
PRJ-2024-001,DEL-001-17a6eb,2025-02-02,PRJ-2024-001-SOV-08,Equipment,Boiler 2000MBH,3,EA,145457.42,436372.27,PO-91153,ACR Group,R. Williams,Good condition
PRJ-2024-001,DEL-001-ba2278,2025-02-06,PRJ-2024-001-SOV-07,Equipment,RTU 15-Ton,2,EA,273782.83,547565.66,PO-49094,Johnstone Supply,K. Thompson,Good condition
PRJ-2024-001,DEL-001-9e798a,2025-02-06,PRJ-2024-001-SOV-11,Controls,VAV Controller,33,EA,5176.45,170822.7,PO-18326,RE Michel,M. Chen,Good condition
PRJ-2024-001,DEL-001-2ad262,2025-02-22,PRJ-2024-001-SOV-06,Piping,"Black Steel Sch40 4""",223,LF,428.19,95486.77,PO-31412,RE Michel,K. Thompson,Good condition
PRJ-2024-001,DEL-001-7d7436,2025-03-16,PRJ-2024-001-SOV-06,Piping,"Copper Type L 2""",1000,LF,145.04,145038.14,PO-10565,Ferguson Supply,M. Chen,Good condition
PRJ-2024-001,DEL-001-2fc508,2025-03-17,PRJ-2024-001-SOV-12,Insulation,"Pipe Insulation 2"" Armaflex",997,LF,236.68,235965.72,PO-73690,ACR Group,M. Chen,Good condition
PRJ-2024-001,DEL-001-47ac79,2025-03-19,PRJ-2024-001-SOV-09,Equipment,RTU 15-Ton,2,EA,267711.18,535422.35,PO-87144,ACR Group,M. Chen,Good condition
PRJ-2024-001,DEL-001-2449e2,2025-03-22,PRJ-2024-001-SOV-10,Controls,Pressure Sensor,20,EA,10824.44,216488.81,PO-22042,Winsupply,K. Thompson,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-ae9f2b,2025-03-31,PRJ-2024-001-SOV-10,Controls,Actuator 24V,12,EA,10921.95,131063.4,PO-75947,Carrier Enterprise,J. Martinez,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-d6b2a6,2025-04-06,PRJ-2024-001-SOV-05,Piping,Brazing Alloy,25,EA,15201.46,380036.6,PO-29963,Johnstone Supply,D. Patel,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-8c4ecc,2025-04-06,PRJ-2024-001-SOV-07,Equipment,AHU Custom,1,EA,893625.68,893625.68,PO-29216,Johnstone Supply,R. Williams,Partial shipment - backorder pending
PRJ-2024-001,DEL-001-29960a,2025-05-10,PRJ-2024-001-SOV-10,Controls,VAV Controller,11,EA,9332.52,102657.68,PO-53946,Carrier Enterprise,R. Williams,Partial shipment - backorder pending
PRJ-2024-001,DEL-001-e8057b,2025-05-25,PRJ-2024-001-SOV-12,Insulation,Fiberglass Duct Liner R-6,177,LF,927.18,164110.11,PO-52823,Johnstone Supply,D. Patel,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-c6cfb9,2025-05-30,PRJ-2024-001-SOV-10,Controls,Temp Sensor,35,EA,2418.8,84657.9,PO-17273,Winsupply,D. Patel,Minor packaging damage - product OK
PRJ-2024-001,DEL-001-111531,2025-07-01,PRJ-2024-001-SOV-11,Controls,DDC Controller,78,EA,801.85,62544.4,PO-98984,Johnstone Supply,K. Thompson,Good condition
PRJ-2024-001,DEL-001-8eb7a6,2025-07-05,PRJ-2024-001-SOV-10,Controls,DDC Controller,74,EA,2431.19,179908.08,PO-89314,Carrier Enterprise,M. Chen,Good condition
PRJ-2024-002,DEL-002-3930f2,2024-03-06,PRJ-2024-002-SOV-04,Ductwork,"Flex Duct 8""",179,LF,792.76,141903.42,PO-58502,ACR Group,R. Williams,Good condition
PRJ-2024-002,DEL-002-c84af1,2024-03-19,PRJ-2024-002-SOV-03,Ductwork,Galvanized Sheet Metal 20ga,62,SHEET,1795.25,111305.34,PO-98691,Ferguson Supply,K. Thompson,Good condition
PRJ-2024-002,DEL-002-328561,2024-04-28,PRJ-2024-002-SOV-03,Ductwork,Duct Sealant,92,LF,903.12,83087.36,PO-63898,Winsupply,M. Chen,Partial shipment - backorder pending
PRJ-2024-002,DEL-002-28f89c,2024-05-29,PRJ-2024-002-SOV-03,Ductwork,Duct Sealant,477,LF,749.55,357536.4,PO-56146,ACR Group,D. Patel,Good condition
PRJ-2024-002,DEL-002-ad60c4,2024-06-01,PRJ-2024-002-SOV-03,Ductwork,Galvanized Sheet Metal 20ga,74,SHEET,1411.54,104453.99,PO-30127,Carrier Enterprise,K. Thompson,Good condition
PRJ-2024-002,DEL-002-fd2015,2024-06-12,PRJ-2024-002-SOV-07,Equipment,"VAV Box 16""",14,EA,27401.0,383613.97,PO-76534,Johnstone Supply,D. Patel,Good condition
PRJ-2024-002,DEL-002-d92587,2024-06-12,PRJ-2024-002-SOV-09,Equipment,"VAV Box 12""",23,EA,3251.7,74789.19,PO-99920,ACR Group,D. Patel,Good condition
PRJ-2024-002,DEL-002-5442f5,2024-06-15,PRJ-2024-002-SOV-09,Equipment,FCU 4-Pipe,129,LF,10578.61,1364641.21,PO-71438,RE Michel,K. Thompson,Partial shipment - backorder pending
PRJ-2024-002,DEL-002-72fc09,2024-06-24,PRJ-2024-002-SOV-03,Ductwork,"Spiral Duct 16""",342,LF,572.82,195905.96,PO-93148,RE Michel,M. Chen,Good condition
PRJ-2024-002,DEL-002-0f20d0,2024-06-25,PRJ-2024-002-SOV-06,Piping,"Copper Type L 2""",294,LF,632.13,185847.42,PO-12822,Winsupply,M. Chen,Minor packaging damage - product OK
PRJ-2024-002,DEL-002-aa9e3f,2024-07-31,PRJ-2024-002-SOV-03,Ductwork,"Spiral Duct 16""",144,LF,1214.42,174875.98,PO-26222,Winsupply,R. Williams,Good condition
PRJ-2024-002,DEL-002-ae4c31,2024-08-01,PRJ-2024-002-SOV-04,Ductwork,"Spiral Duct 24""",208,LF,1457.46,303151.7,PO-90864,Winsupply,J. Martinez,Good condition
PRJ-2024-002,DEL-002-345963,2024-08-10,PRJ-2024-002-SOV-06,Piping,Pipe Hangers Assorted,615,LF,709.79,436522.3,PO-47110,ACR Group,K. Thompson,Good condition
PRJ-2024-002,DEL-002-7e31ff,2024-08-14,PRJ-2024-002-SOV-08,Equipment,"VAV Box 12""",33,EA,12337.66,407142.91,PO-14013,RE Michel,R. Williams,Good condition
PRJ-2024-002,DEL-002-0e4943,2024-09-04,PRJ-2024-002-SOV-08,Equipment,RTU 15-Ton,1,EA,82493.02,82493.02,PO-73996,Winsupply,M. Chen,Good condition
PRJ-2024-002,DEL-002-72d146,2024-09-16,PRJ-2024-002-SOV-08,Equipment,FCU 4-Pipe,779,LF,580.5,452209.17,PO-54782,Ferguson Supply,D. Patel,Partial shipment - backorder pending
PRJ-2024-002,DEL-002-d91cc1,2024-09-20,PRJ-2024-002-SOV-08,Equipment,FCU 4-Pipe,563,LF,744.83,419337.38,PO-74764,RE Michel,M. Chen,Good condition
PRJ-2024-002,DEL-002-0f9f3b,2024-09-27,PRJ-2024-002-SOV-03,Ductwork,"Flex Duct 10""",500,LF,287.69,143844.22,PO-21699,ACR Group,K. Thompson,Good condition
PRJ-2024-002,DEL-002-0bce57,2024-10-05,PRJ-2024-002-SOV-04,Ductwork,"Flex Duct 8""",453,LF,1402.04,635122.81,PO-97416,Johnstone Supply,D. Patel,Minor packaging damage - product OK
PRJ-2024-002,DEL-002-1cc99f,2024-11-14,PRJ-2024-002-SOV-08,Equipment,FCU 4-Pipe,562,LF,512.19,287852.29,PO-40632,Winsupply,R. Williams,Minor packaging damage - product OK
PRJ-2024-002,DEL-002-7a1f90,2024-11-17,PRJ-2024-002-SOV-04,Ductwork,"Spiral Duct 16""",51,LF,7185.5,366460.32,PO-59793,Carrier Enterprise,K. Thompson,Partial shipment - backorder pending
PRJ-2024-002,DEL-002-6c8446,2024-11-25,PRJ-2024-002-SOV-08,Equipment,FCU 4-Pipe,652,LF,391.88,255505.43,PO-72833,Johnstone Supply,R. Williams,Good condition
PRJ-2024-002,DEL-002-cda638,2024-11-30,PRJ-2024-002-SOV-08,Equipment,FCU 2-Pipe,538,LF,213.52,114871.85,PO-62327,Carrier Enterprise,K. Thompson,Partial shipment - backorder pending
PRJ-2024-002,DEL-002-e2d152,2024-12-07,PRJ-2024-002-SOV-11,Controls,Damper Motor,38,EA,1589.48,60400.41,PO-72980,ACR Group,D. Patel,Minor packaging damage - product OK
PRJ-2024-002,DEL-002-c741c9,2024-12-15,PRJ-2024-002-SOV-05,Piping,"Copper Type L 1.5""",981,LF,177.35,173975.51,PO-57537,Johnstone Supply,M. Chen,Good condition
PRJ-2024-002,DEL-002-bfd3d4,2024-12-19,PRJ-2024-002-SOV-12,Insulation,"Pipe Insulation 1"" Armaflex",206,LF,367.02,75606.08,PO-96757,ACR Group,D. Patel,Good condition
PRJ-2024-002,DEL-002-45bd0e,2025-01-14,PRJ-2024-002-SOV-05,Piping,"Black Steel Sch40 4""",370,LF,119.14,44081.6,PO-39861,Johnstone Supply,R. Williams,Partial shipment - backorder pending
PRJ-2024-002,DEL-002-9883a5,2025-02-13,PRJ-2024-002-SOV-11,Controls,VAV Controller,37,EA,4208.26,155705.71,PO-85115,Winsupply,J. Martinez,Good condition
PRJ-2024-002,DEL-002-318d20,2025-02-22,PRJ-2024-002-SOV-06,Piping,"Copper Type L 1.5""",520,LF,15.15,7877.8,PO-87941,Ferguson Supply,K. Thompson,Good condition
PRJ-2024-002,DEL-002-0fd8b3,2025-02-25,PRJ-2024-002-SOV-10,Controls,Pressure Sensor,75,EA,1051.65,78873.81,PO-94587,Ferguson Supply,R. Williams,Good condition
PRJ-2024-002,DEL-002-3af6c1,2025-02-28,PRJ-2024-002-SOV-07,Equipment,"VAV Box 12""",11,EA,163147.41,1794621.48,PO-92376,Ferguson Supply,M. Chen,Partial shipment - backorder pending
PRJ-2024-002,DEL-002-139a6f,2025-03-16,PRJ-2024-002-SOV-12,Insulation,"Pipe Insulation 1"" Armaflex",592,LF,67.27,39822.31,PO-82304,ACR Group,M. Chen,Minor packaging damage - product OK
PRJ-2024-002,DEL-002-9127b7,2025-04-07,PRJ-2024-002-SOV-12,Insulation,"Pipe Insulation 2"" Armaflex",323,LF,299.55,96754.22,PO-14178,Winsupply,R. Williams,Good condition
PRJ-2024-002,DEL-002-846963,2025-04-13,PRJ-2024-002-SOV-05,Piping,Refrigerant R-410A,49,EA,6647.31,325718.16,PO-17294,ACR Group,J. Martinez,Good condition
PRJ-2024-002,DEL-002-1dff19,2025-05-03,PRJ-2024-002-SOV-12,Insulation,"Pipe Insulation 2"" Armaflex",521,LF,13.04,6791.48,PO-35431,Winsupply,M. Chen,Good condition
PRJ-2024-002,DEL-002-f7dc20,2025-05-07,PRJ-2024-002-SOV-10,Controls,Actuator 24V,77,EA,1568.96,120809.83,PO-92394,Carrier Enterprise,R. Williams,Good condition
PRJ-2024-002,DEL-002-298db8,2025-05-12,PRJ-2024-002-SOV-06,Piping,"Copper Type L 1.5""",964,LF,184.05,177425.02,PO-41795,Johnstone Supply,K. Thompson,Good condition
PRJ-2024-002,DEL-002-cde3b5,2025-05-12,PRJ-2024-002-SOV-11,Controls,Actuator 24V,42,EA,1647.79,69207.03,PO-55616,Winsupply,D. Patel,Good condition
PRJ-2024-002,DEL-002-3e94ce,2025-05-25,PRJ-2024-002-SOV-11,Controls,BACnet Gateway,16,EA,8920.38,142726.07,PO-44350,Carrier Enterprise,J. Martinez,Good condition
PRJ-2024-002,DEL-002-5af792,2025-05-28,PRJ-2024-002-SOV-09,Equipment,Boiler 2000MBH,2,EA,212084.24,424168.49,PO-10864,Ferguson Supply,D. Patel,Minor packaging damage - product OK
PRJ-2024-002,DEL-002-c4ec75,2025-05-28,PRJ-2024-002-SOV-10,Controls,"Control Valve 2""",32,EA,4507.6,144243.14,PO-11171,Ferguson Supply,R. Williams,Good condition
PRJ-2024-002,DEL-002-e650a2,2025-05-29,PRJ-2024-002-SOV-07,Equipment,FCU 4-Pipe,863,LF,1601.42,1382023.61,PO-11159,RE Michel,K. Thompson,Good condition
PRJ-2024-002,DEL-002-0e7840,2025-06-12,PRJ-2024-002-SOV-08,Equipment,"VAV Box 12""",27,EA,12090.26,326436.94,PO-43255,Winsupply,D. Patel,Good condition
PRJ-2024-002,DEL-002-8431f4,2025-06-17,PRJ-2024-002-SOV-05,Piping,Refrigerant R-410A,29,EA,2974.84,86270.44,PO-15332,Carrier Enterprise,D. Patel,Minor packaging damage - product OK
PRJ-2024-002,DEL-002-353d7b,2025-06-18,PRJ-2024-002-SOV-05,Piping,"Black Steel Sch40 2""",384,LF,811.65,311675.25,PO-57706,Johnstone Supply,M. Chen,Good condition
PRJ-2024-002,DEL-002-2ceda3,2025-07-06,PRJ-2024-002-SOV-12,Insulation,"Pipe Insulation 1"" Armaflex",889,LF,93.61,83223.41,PO-97907,Johnstone Supply,J. Martinez,Good condition
PRJ-2024-002,DEL-002-ecc446,2025-07-10,PRJ-2024-002-SOV-12,Insulation,Fiberglass Duct Liner R-6,268,LF,283.59,76003.33,PO-13685,Winsupply,K. Thompson,Good condition
PRJ-2024-002,DEL-002-86661a,2025-07-20,PRJ-2024-002-SOV-10,Controls,DDC Controller,85,EA,1869.73,158927.17,PO-77472,Winsupply,D. Patel,Minor packaging damage - product OK
PRJ-2024-002,DEL-002-bbc667,2025-08-01,PRJ-2024-002-SOV-11,Controls,DDC Controller,42,EA,858.98,36077.33,PO-68203,Johnstone Supply,D. Patel,Good condition
PRJ-2024-002,DEL-002-b4f383,2025-08-23,PRJ-2024-002-SOV-11,Controls,DDC Controller,81,EA,153.15,12405.16,PO-68738,RE Michel,R. Williams,Partial shipment - backorder pending
PRJ-2024-002,DEL-002-f2bfe2,2025-11-01,PRJ-2024-002-SOV-12,Insulation,Vapor Barrier Tape,36,EA,2434.82,87653.56,PO-81150,Johnstone Supply,M. Chen,Good condition
PRJ-2024-003,DEL-003-e62601,2024-04-03,PRJ-2024-003-SOV-04,Ductwork,Hanging Hardware,45,EA,288.12,12965.51,PO-58255,ACR Group,J. Martinez,Good condition
PRJ-2024-003,DEL-003-730d1c,2024-04-04,PRJ-2024-003-SOV-03,Ductwork,Duct Sealant,53,LF,924.32,48989.1,PO-97983,RE Michel,J. Martinez,Good condition
PRJ-2024-003,DEL-003-8abd3f,2024-04-07,PRJ-2024-003-SOV-04,Ductwork,Duct Sealant,480,LF,111.6,53565.65,PO-57302,Johnstone Supply,M. Chen,Good condition
PRJ-2024-003,DEL-003-9f7a58,2024-05-12,PRJ-2024-003-SOV-07,Equipment,RTU 15-Ton,1,EA,118926.45,118926.45,PO-31736,Winsupply,R. Williams,Partial shipment - backorder pending
PRJ-2024-003,DEL-003-8cb044,2024-05-16,PRJ-2024-003-SOV-03,Ductwork,"Spiral Duct 12""",57,LF,68.29,3892.47,PO-50820,Ferguson Supply,J. Martinez,Good condition
PRJ-2024-003,DEL-003-662712,2024-05-26,PRJ-2024-003-SOV-08,Equipment,RTU 15-Ton,3,EA,65279.85,195839.56,PO-79862,ACR Group,M. Chen,Good condition
PRJ-2024-003,DEL-003-79a648,2024-05-27,PRJ-2024-003-SOV-05,Piping,"Copper Type L 2""",207,LF,288.5,59718.62,PO-53105,RE Michel,M. Chen,Good condition
PRJ-2024-003,DEL-003-c372b1,2024-05-31,PRJ-2024-003-SOV-04,Ductwork,"Spiral Duct 12""",378,LF,84.19,31825.31,PO-77887,Ferguson Supply,K. Thompson,Good condition
PRJ-2024-003,DEL-003-1c2c2e,2024-05-31,PRJ-2024-003-SOV-09,Equipment,Chiller 200-Ton,3,EA,30847.12,92541.37,PO-72122,Winsupply,J. Martinez,Good condition
PRJ-2024-003,DEL-003-686181,2024-06-02,PRJ-2024-003-SOV-06,Piping,Pipe Hangers Assorted,736,LF,83.92,61765.04,PO-25356,RE Michel,K. Thompson,Good condition
PRJ-2024-003,DEL-003-5a751e,2024-06-02,PRJ-2024-003-SOV-06,Piping,Refrigerant R-410A,14,EA,3249.39,45491.43,PO-69834,Ferguson Supply,J. Martinez,Minor packaging damage - product OK
PRJ-2024-003,DEL-003-7264bc,2024-06-07,PRJ-2024-003-SOV-03,Ductwork,Galvanized Sheet Metal 20ga,30,SHEET,3226.22,96786.58,PO-84828,Winsupply,J. Martinez,Good condition
PRJ-2024-003,DEL-003-4de22a,2024-06-10,PRJ-2024-003-SOV-05,Piping,"Copper Type L 1.5""",787,LF,44.33,34884.6,PO-46364,Johnstone Supply,R. Williams,Good condition
PRJ-2024-003,DEL-003-ee6b98,2024-06-19,PRJ-2024-003-SOV-04,Ductwork,"Spiral Duct 16""",259,LF,140.71,36443.1,PO-21043,Carrier Enterprise,D. Patel,Good condition
PRJ-2024-003,DEL-003-317e9d,2024-06-21,PRJ-2024-003-SOV-07,Equipment,"VAV Box 12""",29,EA,3477.81,100856.59,PO-29105,Johnstone Supply,K. Thompson,Good condition
PRJ-2024-003,DEL-003-1dcdd5,2024-06-27,PRJ-2024-003-SOV-04,Ductwork,Galvanized Sheet Metal 22ga,41,SHEET,1251.8,51323.62,PO-83737,Carrier Enterprise,J. Martinez,Minor packaging damage - product OK
PRJ-2024-003,DEL-003-b59277,2024-06-29,PRJ-2024-003-SOV-03,Ductwork,"Flex Duct 8""",332,LF,24.05,7985.5,PO-53712,ACR Group,J. Martinez,Good condition
PRJ-2024-003,DEL-003-010baa,2024-07-01,PRJ-2024-003-SOV-05,Piping,"PVC Sch40 4""",43,EA,1092.67,46984.76,PO-58831,RE Michel,K. Thompson,Good condition
PRJ-2024-003,DEL-003-8aae95,2024-07-07,PRJ-2024-003-SOV-03,Ductwork,"Flex Duct 10""",329,LF,199.37,65591.88,PO-79683,Carrier Enterprise,R. Williams,Good condition
PRJ-2024-003,DEL-003-0361a4,2024-07-16,PRJ-2024-003-SOV-07,Equipment,RTU 25-Ton,1,EA,55388.74,55388.74,PO-81474,ACR Group,R. Williams,Partial shipment - backorder pending
PRJ-2024-003,DEL-003-c0d133,2024-07-25,PRJ-2024-003-SOV-09,Equipment,FCU 2-Pipe,320,LF,554.32,177383.1,PO-39234,RE Michel,J. Martinez,Good condition
PRJ-2024-003,DEL-003-653f17,2024-08-09,PRJ-2024-003-SOV-12,Insulation,"Pipe Insulation 2"" Armaflex",208,LF,59.14,12301.38,PO-10885,Winsupply,D. Patel,Good condition
PRJ-2024-003,DEL-003-c2a403,2024-09-02,PRJ-2024-003-SOV-07,Equipment,RTU 25-Ton,4,EA,22692.62,90770.46,PO-66490,Ferguson Supply,D. Patel,Good condition
PRJ-2024-003,DEL-003-4d9546,2024-09-03,PRJ-2024-003-SOV-12,Insulation,Fiberglass Duct Liner R-6,153,LF,124.75,19086.84,PO-14117,ACR Group,D. Patel,Good condition
PRJ-2024-003,DEL-003-da85f8,2024-09-09,PRJ-2024-003-SOV-12,Insulation,"Pipe Insulation 2"" Armaflex",953,LF,17.59,16760.75,PO-14721,Johnstone Supply,M. Chen,Good condition
PRJ-2024-003,DEL-003-b6f19d,2024-09-18,PRJ-2024-003-SOV-11,Controls,BACnet Gateway,19,EA,21.32,405.17,PO-21237,Ferguson Supply,J. Martinez,Good condition
PRJ-2024-003,DEL-003-1f3eb5,2024-09-18,PRJ-2024-003-SOV-12,Insulation,"Pipe Insulation 1"" Armaflex",849,LF,6.23,5289.19,PO-76494,ACR Group,D. Patel,Good condition
PRJ-2024-003,DEL-003-d65972,2024-09-19,PRJ-2024-003-SOV-12,Insulation,"Pipe Insulation 2"" Armaflex",142,LF,68.88,9781.56,PO-65931,Johnstone Supply,J. Martinez,Good condition
PRJ-2024-003,DEL-003-3b08d8,2024-09-22,PRJ-2024-003-SOV-08,Equipment,"VAV Box 12""",19,EA,5374.2,102109.73,PO-36269,ACR Group,K. Thompson,Good condition
